run_id,application,method,scenario,environment_seed,llm_seed,rl_seed,operator_seed,operator_profile,completion_status,primary_outcome,service_loss_auc,cumulative_unmet_weighted_need,operator_requests,operator_interventions,operator_minutes,trigger_activations,pre_disruption_false_activation,nominal_false_activation,timely_activation,missed_activation,material_actions_accepted,material_actions_reached_demand,first_pass_valid_rate,valid_after_one_repair_rate,conservation_error,total_communication_messages,llm_calls,prompt_tokens,generated_tokens,llm_latency_seconds,manifest,episode_directory
development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12501-o42501-rnone,commercial,no_communication,human_v3_development-reliable-moderate-p0.5-o0.5,12501,0,,42501,high_accuracy_bounded,complete,23.046815448046637,23.046815448046637,4782.292360891455,0,0,0.0,0,False,False,False,True,0,0,1.0,1.0,6.821210263296962e-13,0,0,0,0,0.0,results/human_operator_v3/manifests/development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12501-o42501-rnone.json,results/human_operator_v3/raw/development_gate_coordination_n10/development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12501-o42501-rnone
development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12501-o42501-rnone,commercial,fixed_communication_no_human,human_v3_development-reliable-moderate-p0.5-o0.5,12501,0,,42501,high_accuracy_bounded,complete,10.016662451237623,10.016662451237623,1738.3633608914547,0,0,0.0,0,False,False,False,True,32,31,1.0,1.0,6.821210263296962e-13,549,0,0,0,0.0,results/human_operator_v3/manifests/development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12501-o42501-rnone.json,results/human_operator_v3/raw/development_gate_coordination_n10/development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12501-o42501-rnone
development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12502-o42502-rnone,commercial,no_communication,human_v3_development-reliable-moderate-p0.5-o0.5,12502,0,,42502,high_accuracy_bounded,complete,22.903190175013563,22.903190175013563,4248.98513133945,0,0,0.0,0,False,False,False,True,0,0,1.0,1.0,2.2737367544323206e-13,0,0,0,0,0.0,results/human_operator_v3/manifests/development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12502-o42502-rnone.json,results/human_operator_v3/raw/development_gate_coordination_n10/development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12502-o42502-rnone
development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12502-o42502-rnone,commercial,fixed_communication_no_human,human_v3_development-reliable-moderate-p0.5-o0.5,12502,0,,42502,high_accuracy_bounded,complete,7.97367218890597,7.97367218890597,1358.2491088463278,0,0,0.0,0,False,False,False,True,25,25,1.0,1.0,2.2737367544323206e-13,544,0,0,0,0.0,results/human_operator_v3/manifests/development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12502-o42502-rnone.json,results/human_operator_v3/raw/development_gate_coordination_n10/development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12502-o42502-rnone
development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12503-o42503-rnone,commercial,no_communication,human_v3_development-reliable-moderate-p0.5-o0.5,12503,0,,42503,high_accuracy_bounded,complete,22.98642256218778,22.98642256218778,4601.573807971781,0,0,0.0,0,False,False,False,True,0,0,1.0,1.0,0.0,0,0,0,0,0.0,results/human_operator_v3/manifests/development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12503-o42503-rnone.json,results/human_operator_v3/raw/development_gate_coordination_n10/development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12503-o42503-rnone
development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12503-o42503-rnone,commercial,fixed_communication_no_human,human_v3_development-reliable-moderate-p0.5-o0.5,12503,0,,42503,high_accuracy_bounded,complete,8.6762406602357,8.6762406602357,1493.1306514352698,0,0,0.0,0,False,False,False,True,25,25,1.0,1.0,-2.2737367544323206e-13,519,0,0,0,0.0,results/human_operator_v3/manifests/development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12503-o42503-rnone.json,results/human_operator_v3/raw/development_gate_coordination_n10/development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12503-o42503-rnone
development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12504-o42504-rnone,commercial,no_communication,human_v3_development-reliable-moderate-p0.5-o0.5,12504,0,,42504,high_accuracy_bounded,complete,23.01298399688815,23.01298399688815,4243.770582232879,0,0,0.0,0,False,False,False,True,0,0,1.0,1.0,2.2737367544323206e-13,0,0,0,0,0.0,results/human_operator_v3/manifests/development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12504-o42504-rnone.json,results/human_operator_v3/raw/development_gate_coordination_n10/development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12504-o42504-rnone
development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12504-o42504-rnone,commercial,fixed_communication_no_human,human_v3_development-reliable-moderate-p0.5-o0.5,12504,0,,42504,high_accuracy_bounded,complete,6.616045305420715,6.616045305420715,954.5219437122647,0,0,0.0,0,False,False,False,True,32,31,1.0,1.0,0.0,537,0,0,0,0.0,results/human_operator_v3/manifests/development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12504-o42504-rnone.json,results/human_operator_v3/raw/development_gate_coordination_n10/development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12504-o42504-rnone
development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12505-o42505-rnone,commercial,no_communication,human_v3_development-reliable-moderate-p0.5-o0.5,12505,0,,42505,high_accuracy_bounded,complete,23.031082999883658,23.031082999883658,4602.511517886824,0,0,0.0,0,False,False,False,True,0,0,1.0,1.0,4.547473508864641e-13,0,0,0,0,0.0,results/human_operator_v3/manifests/development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12505-o42505-rnone.json,results/human_operator_v3/raw/development_gate_coordination_n10/development_gate_coordination_n10-commercial-no_communication-moderate-reliable-e12505-o42505-rnone
development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12505-o42505-rnone,commercial,fixed_communication_no_human,human_v3_development-reliable-moderate-p0.5-o0.5,12505,0,,42505,high_accuracy_bounded,complete,7.789819866125657,7.789819866125657,1229.440517886823,0,0,0.0,0,False,False,False,True,28,28,1.0,1.0,4.547473508864641e-13,510,0,0,0,0.0,results/human_operator_v3/manifests/development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12505-o42505-rnone.json,results/human_operator_v3/raw/development_gate_coordination_n10/development_gate_coordination_n10-commercial-fixed_communication_no_human-moderate-reliable-e12505-o42505-rnone
