model_key,model_id,model_revision,cluster_id,panel_id,condition,disruption,memory_mode,attempted_updates,valid_after_repair_fraction,belief_minus_to_plus,belief_plus_to_minus,latent_plus_occupancy,raw_block_divergence_nats_per_update,shuffle_floor_nats_per_update,shuffle_floor_monte_carlo_se,shuffle_floor_mean_mc_ci_low,shuffle_floor_mean_mc_ci_high,adjusted_pathwise_irreversibility_nats_per_update,prompt_tokens,generated_tokens,model_calls,latency_seconds,mean_prompt_tokens,mean_prompt_memory_entries,mean_prompt_memory_characters,message_opportunities,messages_delivered,wire_bytes,privacy_mutations,conditional_memory_depth_1,conditional_memory_depth_2,conditional_memory_depth_3
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g0,V15Q_g0_nominal_markovized,nominal_markovized,nominal,markovized,720,1.0,7,7,0.5125,0.01612372938672343,0.04547201501927846,0.00035232209289463027,0.04478146371720498,0.04616256632135193,-0.029348285632555027,396026,57891,720,2892.665063767461,550.0361111111112,0.0,0.0,720,720,12960,0,0.006002982264939419,0.0031511504574113247,0.00519512874645758
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g0,V15Q_g0_field_markovized,field_markovized,field_reversal,markovized,720,1.0,25,25,0.5152777777777777,0.036685142380209056,0.08423611807465721,0.00036927282981199323,0.0835123433282257,0.08495989282108872,-0.047550975694448154,396193,57955,720,2889.5835555242375,550.2680555555555,0.0,0.0,720,720,12960,0,0.021297432492684117,0.011129008476996424,0.004682881629237105
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g0,V15Q_g0_field_persistent,field_persistent,field_reversal,persistent_memory,720,1.0,20,20,0.5027777777777778,0.03749288557592386,0.0314425777532293,0.0002450721477553675,0.03096223634362878,0.03192291916282982,0.006050307822694563,436092,57818,720,2902.7363675206434,605.6833333333333,2.8666666666666667,155.46666666666667,720,720,12960,0,0.01584384724019359,0.004249224289306785,0.0033483340408158053
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g0,V15Q_g0_field_scrambled,field_scrambled,field_reversal,scrambled_memory,720,1.0,24,24,0.5097222222222222,0.03860954244120913,0.054902399723661566,0.00030725091093869504,0.05430018793822172,0.05550461150910141,-0.016292857282452437,433960,57842,720,2899.4815719954204,602.7222222222222,2.8666666666666667,144.07638888888889,720,720,12960,0,0.01160597749325282,0.0041770355220726585,0.004769200660142868
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g1,V15Q_g1_nominal_markovized,nominal_markovized,nominal,markovized,720,1.0,9,9,0.5027777777777778,0.01613449289098694,0.04334369429688706,0.0003565004580833192,0.042644953399043756,0.04404243519473036,-0.027209201405900118,395620,57490,720,2900.786852987483,549.4722222222222,0.0,0.0,720,720,12960,0,0.004578993113238138,0.005176113369507165,0.002005536749749819
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g1,V15Q_g1_field_markovized,field_markovized,field_reversal,markovized,720,1.0,23,24,0.5041666666666667,0.03754033560001989,0.05930134831405787,0.0002987297801735001,0.058715837944917804,0.05988685868319793,-0.021761012714037978,396036,57698,720,2918.7815736152697,550.05,0.0,0.0,720,720,12960,0,0.019653678957704392,0.008851182654590287,0.0017920567602163816
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g1,V15Q_g1_field_persistent,field_persistent,field_reversal,persistent_memory,720,1.0,22,22,0.5111111111111111,0.0427393811280324,0.0647483123520047,0.000324479747350824,0.06411233204719709,0.06538429265681232,-0.02200893122397231,435636,57438,720,2897.0303943722975,605.05,2.8666666666666667,155.5625,720,720,12960,0,0.011689581784888376,0.005194860080120063,0.0028074498206297014
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g1,V15Q_g1_field_scrambled,field_scrambled,field_reversal,scrambled_memory,720,1.0,24,24,0.5,0.04250056416991661,0.039681191291656794,0.0002612527700750541,0.03916913586230969,0.0401932467210039,0.0028193728782598196,433917,57650,720,2918.790775112575,602.6625,2.8666666666666667,144.01944444444445,720,720,12960,0,0.013517208045455533,0.01122796970680666,0.007998932910245228
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g2,V15Q_g2_nominal_markovized,nominal_markovized,nominal,markovized,720,1.0,9,9,0.5013888888888889,0.016789423680642207,0.0479596184875919,0.0003561917223574563,0.04726148271177129,0.04865775426341251,-0.031170194806949693,395744,58028,720,2935.7698337296024,549.6444444444444,0.0,0.0,720,720,12960,0,0.007841162474532676,0.0034959691001136095,0.007855396401530334
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g2,V15Q_g2_field_markovized,field_markovized,field_reversal,markovized,720,1.0,26,26,0.5027777777777778,0.0376216286817418,0.072413645247305,0.00035689896647787123,0.07171412327300837,0.07311316722160162,-0.034792016565563195,395712,57995,720,2928.433272280963,549.6,0.0,0.0,720,720,12960,0,0.023152195301909644,0.00886636012672981,0.008174330973883212
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g2,V15Q_g2_field_persistent,field_persistent,field_reversal,persistent_memory,720,1.0,21,21,0.4986111111111111,0.042744820285835566,0.03382478160619727,0.0002519124662859862,0.03333103317227674,0.034318530040117805,0.008920038679638295,436229,57954,720,2910.019275108818,605.8736111111111,2.8666666666666667,156.26666666666668,720,720,12960,0,0.02741121399052601,0.0066140657214982645,0.00657199639557052
qwen,Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,V15Q_g2,V15Q_g2_field_scrambled,field_scrambled,field_reversal,scrambled_memory,720,1.0,21,21,0.5027777777777778,0.04019533381294738,0.02476999313900231,0.00022837141015796824,0.024322385175092692,0.025217601102911928,0.015425340673945073,433399,57798,720,2961.9826206355356,601.9430555555556,2.8666666666666667,144.68055555555554,720,720,12960,0,0.023247093540409138,0.005003673049768042,0.0026061283005384883
