actionable_opportunities_baseline,agent_count_baseline,allocation_inequality_gini_baseline,application,autonomous_action_coverage_baseline,autonomous_beneficial_actions_baseline,autonomous_harmful_actions_baseline,autonomous_neutral_actions_baseline,baseline_calibration_sketch_messages_baseline,beneficial_actions_baseline,commitment_failures_baseline,completed_at_baseline,complexity,conservation_feasible_baseline,controller_baseline,coupling,critical_shortage_exposure_baseline,cross_community_messages_baseline,decision_epochs_baseline,delivery_completion_baseline,distributed_estimation_mae_baseline,dropped_messages_baseline,eligible_operational_proposals_baseline,environment_seed,event_count_baseline,fragmentation,harmful_actions_baseline,horizon_baseline,information_actions_baseline,information_condition,maximum_cascade_depth_baseline,maximum_conservation_residual_baseline,net_causal_utility_baseline,network_disruption,neutral_actions_baseline,operational_bytes_baseline,operational_communication_policy,operational_messages_baseline,operational_node_count_baseline,operator_escalations_baseline,operator_executed_actions_baseline,operator_minutes_baseline,physical_actions_baseline,post_disruption_sketch_messages_baseline,privacy_boundary_pass_baseline,resource_waste_baseline,run_id_baseline,service_loss_baseline,service_reaching_actions_baseline,sketch_bytes_baseline,sketch_messages_baseline,sketch_policy,started_at_baseline,stochastic_tape_digest_baseline,time_to_first_critical_delivery_baseline,topology_family,total_bytes_baseline,total_messages_baseline,weighted_unmet_critical_need_baseline,belief_consensus_recovery_baseline,cascaded_failures_baseline,crew_travel_baseline,crew_utilization_baseline,repeated_work_orders_baseline,restoration_time_mean_baseline,unsafe_switching_or_isolation_baseline,unserved_critical_load_auc_baseline,accepted_autonomous_actions_baseline,eligible_proposals_baseline,actual_autonomous_coverage_baseline,autonomous_completed_actions_baseline,autonomous_harm_rate_baseline,actionable_opportunities_entropic,agent_count_entropic,allocation_inequality_gini_entropic,autonomous_action_coverage_entropic,autonomous_beneficial_actions_entropic,autonomous_harmful_actions_entropic,autonomous_neutral_actions_entropic,baseline_calibration_sketch_messages_entropic,beneficial_actions_entropic,commitment_failures_entropic,completed_at_entropic,conservation_feasible_entropic,controller_entropic,critical_shortage_exposure_entropic,cross_community_messages_entropic,decision_epochs_entropic,delivery_completion_entropic,distributed_estimation_mae_entropic,dropped_messages_entropic,eligible_operational_proposals_entropic,event_count_entropic,harmful_actions_entropic,horizon_entropic,information_actions_entropic,maximum_cascade_depth_entropic,maximum_conservation_residual_entropic,net_causal_utility_entropic,neutral_actions_entropic,operational_bytes_entropic,operational_messages_entropic,operational_node_count_entropic,operator_escalations_entropic,operator_executed_actions_entropic,operator_minutes_entropic,physical_actions_entropic,post_disruption_sketch_messages_entropic,privacy_boundary_pass_entropic,resource_waste_entropic,run_id_entropic,service_loss_entropic,service_reaching_actions_entropic,sketch_bytes_entropic,sketch_messages_entropic,started_at_entropic,stochastic_tape_digest_entropic,time_to_first_critical_delivery_entropic,total_bytes_entropic,total_messages_entropic,weighted_unmet_critical_need_entropic,belief_consensus_recovery_entropic,cascaded_failures_entropic,crew_travel_entropic,crew_utilization_entropic,repeated_work_orders_entropic,restoration_time_mean_entropic,unsafe_switching_or_isolation_entropic,unserved_critical_load_auc_entropic,accepted_autonomous_actions_entropic,eligible_proposals_entropic,actual_autonomous_coverage_entropic,autonomous_completed_actions_entropic,autonomous_harm_rate_entropic,harm_reduction,service_loss_difference,relative_service_degradation,causal_utility_gain,coverage_difference
403,52,0.4158941962431666,humanitarian,0.3129890453834116,97,75,0,318,99,0.0,2026-08-16T22:16:30.811743+00:00,large,True,crossfit_strongest_nonentropic,high,95061.294488219,8168,20,209.7822141067209,0.0401614281821432,10443,639,787043,171654,high,92,100,1039,private_fragmented,3,8.242295734817162e-13,216.37687692537853,high,0,244337,agent_event_triggered,1039,30,19,19,82.0,200,36962,True,9.591887126051017,v7-development_formal_dynamic-humanitarian-large-high-high-high-modular-private_fragmented-787043-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,184899.47883909423,129,18425102,53472,event_triggered,2026-08-16T22:12:17.943472+00:00,5aa34b129c3c8f6d6d6f1c6b2f0f6e3c231073111ad6cc2e1f86acdba6c18c8a,12.0,modular,18669439,54511,4610.520340267176,nan,nan,nan,nan,nan,nan,nan,nan,181,639,0.28325508607198746,172,0.436046511627907,403,52,0.4162905786187691,0.3082942097026604,97,74,0,318,101,0.0,2026-08-16T22:27:32.554293+00:00,True,crossfit_generalized_entropic,94590.78055115989,8168,20,201.11043484434296,0.0401614281821432,10443,639,171650,89,100,1039,3,7.105427357601002e-13,236.81399149308973,0,244361,1039,30,19,19,82.0,197,36962,True,7.746772773307741,v7-development_formal_dynamic-humanitarian-large-high-high-high-modular-private_fragmented-787043-crossfit_generalized_entropic-event_triggered-agent_event_triggered,184163.10231757423,125,18425102,53472,2026-08-16T22:23:15.803415+00:00,5aa34b129c3c8f6d6d6f1c6b2f0f6e3c231073111ad6cc2e1f86acdba6c18c8a,12.0,18669463,54511,4595.700553865408,nan,nan,nan,nan,nan,nan,nan,nan,178,639,0.27856025039123633,171,0.4327485380116959,0.0032979736162110918,-736.3765215199965,-0.003982577593746579,20.437114567711205,-0.0046948356807511304
433,52,0.4148481073446712,humanitarian,0.2896652110625909,102,74,0,486,106,0.0,2026-08-16T21:02:55.820090+00:00,large,True,crossfit_strongest_nonentropic,high,97740.47533092884,70914,20,201.05036040595837,0.0393945776653472,17540,687,787041,286495,high,90,100,1040,private_fragmented,3,3.6415315207705135e-14,336.8432209418192,high,0,243877,agent_event_triggered,1040,30,20,20,89.0,199,76531,True,7.514630635859169,v7-development_formal_dynamic-humanitarian-large-high-high-high-random_geometric-private_fragmented-787041-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,183836.7045517472,120,32320486,94118,event_triggered,2026-08-16T20:56:11.565324+00:00,e2cec0e355039741be40a3a742770d94b73a6c7079396f44c26e39770c5bc7ed,12.0,random_geometric,32564363,95158,4662.086277624808,nan,nan,nan,nan,nan,nan,nan,nan,179,687,0.26055312954876275,176,0.42045454545454547,433,52,0.4159737813711873,0.2867540029112082,103,73,0,486,106,0.0,2026-08-16T21:20:29.167504+00:00,True,crossfit_generalized_entropic,98881.78594975232,70914,20,207.0280694274971,0.0393945776653472,17540,687,286493,90,100,1040,3,4.547473508864641e-13,328.3798931753975,0,243882,1040,30,20,20,90.0,197,76531,True,7.662192375969042,v7-development_formal_dynamic-humanitarian-large-high-high-high-random_geometric-private_fragmented-787041-crossfit_generalized_entropic-event_triggered-agent_event_triggered,186743.1838065136,124,32320486,94118,2026-08-16T21:13:43.105335+00:00,e2cec0e355039741be40a3a742770d94b73a6c7079396f44c26e39770c5bc7ed,12.0,32564368,95158,4732.76420564531,nan,nan,nan,nan,nan,nan,nan,nan,177,687,0.2576419213973799,176,0.4147727272727273,0.005681818181818177,2906.4792547663965,0.015810113991399727,-8.463327766421685,-0.002911208151382849
420,52,0.4155806063513791,humanitarian,0.2908545727136432,93,79,0,588,98,0.0,2026-08-16T21:42:43.700406+00:00,large,True,crossfit_strongest_nonentropic,high,84924.35832834382,133999,20,182.77425313345816,0.0358419765163639,33856,667,787044,517272,high,94,100,1040,private_fragmented,3,9.379164112033322e-13,258.79576061635464,high,0,244585,agent_event_triggered,1040,30,20,20,89.0,194,131675,True,9.12383920617654,v7-development_formal_dynamic-humanitarian-large-high-high-high-random_geometric-private_fragmented-787044-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,175280.8745713869,111,60543861,176485,event_triggered,2026-08-16T21:30:20.223175+00:00,2a01923c962b9d3eece9885fcee5bc0f196c73e33cdae569da8b3ca070857a04,12.0,random_geometric,60788446,177525,4471.863648333085,nan,nan,nan,nan,nan,nan,nan,nan,174,667,0.2608695652173913,172,0.45930232558139533,421,52,0.4145892731500795,0.2855007473841554,89,79,0,588,91,0.0,2026-08-16T22:05:05.945455+00:00,True,crossfit_generalized_entropic,88398.15412448235,133788,20,187.79338951184064,0.0359350859304629,33846,669,516443,97,100,1040,3,5.861977570020828e-14,200.11391319138315,0,244562,1040,30,20,20,85.0,191,131398,True,7.91832762044104,v7-development_formal_dynamic-humanitarian-large-high-high-high-random_geometric-private_fragmented-787044-crossfit_generalized_entropic-event_triggered-agent_event_triggered,174800.38429557745,116,60450161,176208,2026-08-16T21:52:33.191289+00:00,2a01923c962b9d3eece9885fcee5bc0f196c73e33cdae569da8b3ca070857a04,12.0,60694723,177248,4476.318611088026,nan,nan,nan,nan,nan,nan,nan,nan,171,669,0.2556053811659193,168,0.47023809523809523,-0.0109357696566999,-480.49027580945403,-0.002741259004922206,-58.681847424971494,-0.005264184051471998
426,52,0.4177002999730121,humanitarian,0.3092783505154639,107,78,0,312,111,0.0,2026-08-16T20:33:38.728433+00:00,large,True,crossfit_strongest_nonentropic,high,102841.99309876192,20593,20,194.0349243570151,0.0397942805871958,9429,679,787042,191910,high,94,100,1040,private_fragmented,3,3.410605131648481e-13,368.3070058249364,high,0,244537,agent_event_triggered,1040,30,20,20,89.0,210,44585,True,11.199888090628203,v7-development_formal_dynamic-humanitarian-large-high-high-high-small_world-private_fragmented-787042-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,180291.5800537853,123,20561057,59880,event_triggered,2026-08-16T20:28:35.230828+00:00,e45e8ab43a1f27d37ce7fb4b044e01e4476ebedb0e0a6c7d1db47a46028429e5,12.0,small_world,20805594,60920,4544.285694126933,nan,nan,nan,nan,nan,nan,nan,nan,190,679,0.27982326951399117,185,0.42162162162162165,426,52,0.416856925286021,0.3033873343151693,107,75,0,312,110,0.0,2026-08-16T20:46:29.244496+00:00,True,crossfit_generalized_entropic,100943.1554800742,20593,20,188.32580794297763,0.0397942805871958,9429,679,191903,92,100,1040,3,1.2789769243681806e-13,320.0175103625583,0,244551,1040,30,20,20,89.0,206,44585,True,7.553465058067862,v7-development_formal_dynamic-humanitarian-large-high-high-high-small_world-private_fragmented-787042-crossfit_generalized_entropic-event_triggered-agent_event_triggered,179850.73492923813,122,20561057,59880,2026-08-16T20:41:36.159271+00:00,e45e8ab43a1f27d37ce7fb4b044e01e4476ebedb0e0a6c7d1db47a46028429e5,12.0,20805608,60920,4530.407930914748,nan,nan,nan,nan,nan,nan,nan,nan,186,679,0.27393225331369664,182,0.41208791208791207,0.009533709533709578,-440.84512454716605,-0.0024451786623404786,-48.28949546237811,-0.00589101620029453
156,28,0.4554102071525922,humanitarian,0.3813559322033898,33,37,0,74,34,0.0,2026-08-16T22:10:32.642766+00:00,medium,True,crossfit_strongest_nonentropic,high,15305.856750558529,778,15,80.63046222136059,0.0411387229530153,752,236,787026,19150,high,51,60,420,private_fragmented,3,5.684341886080803e-14,76.9942001915657,high,0,98638,agent_event_triggered,420,16,15,15,66.0,90,2798,True,2.5,v7-development_formal_dynamic-humanitarian-medium-high-high-high-modular-private_fragmented-787026-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,29306.924827607894,48,1282283,3721,event_triggered,2026-08-16T22:10:04.192782+00:00,5ba2447bd338e685db34a45b0be5aeb98acffa6f15315ab2eafead92e078b31e,17.0,modular,1380921,4141,1326.1229961183642,nan,nan,nan,nan,nan,nan,nan,nan,75,236,0.3177966101694915,70,0.5285714285714286,156,28,0.4539955762429552,0.3771186440677966,32,35,0,74,33,0.0,2026-08-16T22:21:23.714381+00:00,True,crossfit_generalized_entropic,15804.671305362772,778,15,80.01862522569813,0.0411387229530153,752,236,19146,49,60,420,3,1.7763568394002505e-14,69.18015053864727,0,98642,420,16,15,15,66.0,89,2798,True,2.5,v7-development_formal_dynamic-humanitarian-medium-high-high-high-modular-private_fragmented-787026-crossfit_generalized_entropic-event_triggered-agent_event_triggered,29897.35717965685,47,1282283,3721,2026-08-16T22:20:55.169705+00:00,5ba2447bd338e685db34a45b0be5aeb98acffa6f15315ab2eafead92e078b31e,14.0,1380925,4141,1345.5906226323978,nan,nan,nan,nan,nan,nan,nan,nan,74,236,0.3135593220338983,67,0.5223880597014925,0.00618336886993609,590.4323520489561,0.02014651334188271,-7.814049652918428,-0.004237288135593209
174,28,0.4617912312668368,humanitarian,0.3533834586466165,47,29,0,80,50,0.0,2026-08-16T22:34:25.060245+00:00,medium,True,crossfit_strongest_nonentropic,high,14528.450817360545,1144,15,86.11529313150734,0.0456391911719509,885,266,787030,20390,high,40,60,420,private_fragmented,3,1.7763568394002505e-14,121.34570682258982,high,0,98818,agent_event_triggered,420,16,14,14,60.0,94,3105,True,3.837005906471132,v7-development_formal_dynamic-humanitarian-medium-high-high-high-modular-private_fragmented-787030-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,31062.067485342457,51,1441012,4174,event_triggered,2026-08-16T22:33:53.880316+00:00,8292838724ef87c2bc7b5e114f728733482233994bbe51b08c52af344885c83c,18.0,modular,1539830,4594,1419.8715730696697,nan,nan,nan,nan,nan,nan,nan,nan,80,266,0.3007518796992481,76,0.3815789473684211,174,28,0.4575572299116658,0.3421052631578947,44,30,0,80,47,0.0,2026-08-16T22:43:55.926865+00:00,True,crossfit_generalized_entropic,14987.881908791807,1144,15,78.07002969815976,0.0456391911719509,885,266,20385,41,60,420,3,4.263256414560601e-14,127.04059938137024,0,98830,420,16,14,14,60.0,91,3105,True,2.5,v7-development_formal_dynamic-humanitarian-medium-high-high-high-modular-private_fragmented-787030-crossfit_generalized_entropic-event_triggered-agent_event_triggered,31577.477107066818,45,1441012,4174,2026-08-16T22:43:24.630152+00:00,8292838724ef87c2bc7b5e114f728733482233994bbe51b08c52af344885c83c,18.0,1539842,4594,1448.5664565683596,nan,nan,nan,nan,nan,nan,nan,nan,77,266,0.2894736842105263,74,0.40540540540540543,-0.023826458036984355,515.4096217243605,0.01659289491813678,5.694892558780424,-0.011278195488721776
177,28,0.454563339603139,humanitarian,0.3984962406015037,45,42,0,88,46,0.0,2026-08-16T22:34:55.104317+00:00,medium,True,crossfit_strongest_nonentropic,high,14608.94756231954,1006,15,89.76265509459547,0.044801116484371,1123,266,787033,20367,high,56,60,419,private_fragmented,3,5.684341886080803e-14,166.10380699710134,high,0,98750,agent_event_triggered,419,16,15,15,65.0,106,3188,True,7.481445830066449,v7-development_formal_dynamic-humanitarian-medium-high-high-high-modular-private_fragmented-787033-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,31727.588870175987,54,1460079,4237,event_triggered,2026-08-16T22:34:27.340794+00:00,70c6ca78cc0ad0b331f1d3965a940f76ffcd5c1bd63bb492f9b344ace2250ef2,22.0,modular,1558829,4656,1483.4034128849885,nan,nan,nan,nan,nan,nan,nan,nan,91,266,0.34210526315789475,87,0.4827586206896552,177,28,0.4555604820694242,0.3984962406015037,43,43,0,88,45,0.0,2026-08-16T22:44:27.000946+00:00,True,crossfit_generalized_entropic,14648.284643440396,1006,15,87.76265509459547,0.044801116484371,1123,266,20366,56,60,419,3,4.263256414560601e-14,147.79405040863503,0,98749,419,16,15,15,65.0,106,3188,True,7.481445830066449,v7-development_formal_dynamic-humanitarian-medium-high-high-high-modular-private_fragmented-787033-crossfit_generalized_entropic-event_triggered-agent_event_triggered,31670.144826579846,53,1460079,4237,2026-08-16T22:43:58.211043+00:00,70c6ca78cc0ad0b331f1d3965a940f76ffcd5c1bd63bb492f9b344ace2250ef2,22.0,1558828,4656,1447.84157482234,nan,nan,nan,nan,nan,nan,nan,nan,91,266,0.34210526315789475,86,0.5,-0.017241379310344807,-57.444043596140546,-0.0018105392070980248,-18.309756588466314,0.0
169,28,0.4566669831017734,humanitarian,0.3463035019455253,36,32,0,86,38,0.0,2026-08-16T22:12:11.186945+00:00,medium,True,crossfit_strongest_nonentropic,high,16550.448780069124,1286,15,64.99707460652385,0.0400269622631251,1307,257,787036,22931,high,45,60,420,private_fragmented,3,2.8421709430404014e-14,95.62927336985288,high,0,98933,agent_event_triggered,420,16,15,15,62.0,89,3868,True,2.5,v7-development_formal_dynamic-humanitarian-medium-high-high-high-modular-private_fragmented-787036-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,31499.153915277137,41,1783537,5164,event_triggered,2026-08-16T22:11:36.496194+00:00,6bf644450937d9bcae07708aeb73372979d1d9ff6100f592ca1f110f445542ad,18.0,modular,1882470,5584,1425.9243233410975,nan,nan,nan,nan,nan,nan,nan,nan,74,257,0.28793774319066145,68,0.47058823529411764,170,28,0.4551162560080304,0.3513513513513513,34,35,0,86,36,0.0,2026-08-16T22:23:08.915570+00:00,True,crossfit_generalized_entropic,16568.33805422093,1286,15,64.51701619537909,0.0400269622631251,1307,259,22934,48,60,420,3,8.526512829121202e-14,82.82447188253245,0,98937,420,16,15,15,64.0,91,3868,True,3.5,v7-development_formal_dynamic-humanitarian-medium-high-high-high-modular-private_fragmented-787036-crossfit_generalized_entropic-event_triggered-agent_event_triggered,31207.0801759924,41,1783537,5164,2026-08-16T22:22:31.472121+00:00,6bf644450937d9bcae07708aeb73372979d1d9ff6100f592ca1f110f445542ad,21.0,1882474,5584,1406.0111594462842,nan,nan,nan,nan,nan,nan,nan,nan,76,259,0.29343629343629346,69,0.5072463768115942,-0.036658141517476595,-292.0737392847368,-0.009272431255465582,-12.804801487320432,0.005498550245632006
142,28,0.4601889385487325,humanitarian,0.2731481481481481,22,24,0,100,22,0.0,2026-08-16T20:34:25.116330+00:00,medium,True,crossfit_strongest_nonentropic,high,15376.473140224536,1771,15,46.675125347646784,0.0093450501501968,1562,216,787047,28845,high,36,60,69,public_shared,3,4.263256414560601e-14,37.32057694980777,high,0,28659,agent_event_triggered,121,16,12,12,51.0,59,6105,True,0.5,v7-development_formal_dynamic-humanitarian-medium-high-high-high-modular-public_shared-787047-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,31061.04490483315,30,2537789,7658,event_triggered,2026-08-16T20:33:53.707477+00:00,046fe7a41b91eb2aff2b4ef7a7c16b3d18c2489dd5ea3b76dd7da6a3babf0609,10.0,modular,2566448,7779,1374.8494712732922,nan,nan,nan,nan,nan,nan,nan,nan,47,216,0.2175925925925926,46,0.5217391304347826,142,28,0.4602297048028835,0.2777777777777778,22,25,0,100,22,0.0,2026-08-16T20:47:15.358611+00:00,True,crossfit_generalized_entropic,15376.473140224536,1771,15,48.175125347646784,0.0093450501501968,1562,216,28847,37,60,69,3,4.263256414560601e-14,37.20057694980777,0,28657,121,16,12,12,51.0,60,6105,True,1.0,v7-development_formal_dynamic-humanitarian-medium-high-high-high-modular-public_shared-787047-crossfit_generalized_entropic-event_triggered-agent_event_triggered,31062.149023488968,31,2537789,7658,2026-08-16T20:46:43.935976+00:00,046fe7a41b91eb2aff2b4ef7a7c16b3d18c2489dd5ea3b76dd7da6a3babf0609,10.0,2566446,7779,1374.849471273292,nan,nan,nan,nan,nan,nan,nan,nan,48,216,0.2222222222222222,47,0.5319148936170213,-0.010175763182238673,1.1041186558177287,3.554673254555986e-05,-0.12000000000000455,0.0046296296296296224
141,28,0.4536068041875326,humanitarian,0.2678571428571428,25,26,0,88,25,0.0,2026-08-16T22:38:11.196937+00:00,medium,True,crossfit_strongest_nonentropic,high,14995.96463296718,1427,15,46.01500642246069,0.0142644596409891,1443,224,787050,25025,high,34,60,51,public_shared,3,2.415845301584341e-13,41.67397594329265,high,0,26194,agent_event_triggered,111,16,8,8,33.0,60,5134,True,0.5,v7-development_formal_dynamic-humanitarian-medium-high-high-high-modular-public_shared-787050-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,30505.554284491664,32,2105039,6359,event_triggered,2026-08-16T22:37:37.123932+00:00,1934ac7be6210bab6eb4051bf2d19bef06e9329a5cebf69b7fc9e17354650b86,22.0,modular,2131233,6470,1369.3159746048668,nan,nan,nan,nan,nan,nan,nan,nan,52,224,0.23214285714285715,51,0.5098039215686274,142,28,0.4536068041875326,0.2723214285714285,24,27,0,88,24,0.0,2026-08-16T22:47:45.847206+00:00,True,crossfit_generalized_entropic,15131.714272402443,1427,15,50.01500642246069,0.0142644596409891,1443,224,25027,36,60,51,3,2.380318164796336e-13,38.25613255942737,0,26194,111,16,9,9,38.0,61,5134,True,0.5,v7-development_formal_dynamic-humanitarian-medium-high-high-high-modular-public_shared-787050-crossfit_generalized_entropic-event_triggered-agent_event_triggered,30385.80602218301,34,2105039,6359,2026-08-16T22:47:10.967618+00:00,1934ac7be6210bab6eb4051bf2d19bef06e9329a5cebf69b7fc9e17354650b86,22.0,2131233,6470,1363.591828571776,nan,nan,nan,nan,nan,nan,nan,nan,52,224,0.23214285714285715,51,0.5294117647058824,-0.019607843137254943,-119.74826230865438,-0.003925457678686786,-3.417843383865282,0.0
169,28,0.4626833097796258,humanitarian,0.3831417624521073,44,40,0,162,46,0.0,2026-08-16T20:27:10.755079+00:00,medium,True,crossfit_strongest_nonentropic,high,13939.219408674426,12403,15,89.1528523039187,0.0400790265020736,3457,261,787027,50923,high,52,60,420,private_fragmented,3,6.394884621840903e-14,112.6455575604528,high,0,98763,agent_event_triggered,420,16,14,14,65.0,100,11794,True,2.0,v7-development_formal_dynamic-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787027-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,28765.74947719053,51,5223225,15206,event_triggered,2026-08-16T20:26:03.658302+00:00,dd280fde0502c43f203ed7c6011916427cd28a40078a12afc1d29c5a423aa76f,22.0,random_geometric,5321988,15626,1286.0487127360216,nan,nan,nan,nan,nan,nan,nan,nan,86,261,0.32950191570881227,84,0.47619047619047616,169,28,0.4637547909634077,0.3754789272030651,42,39,0,162,44,0.0,2026-08-16T20:40:13.710679+00:00,True,crossfit_generalized_entropic,14135.01821472344,12403,15,86.65285230391872,0.0400790265020736,3457,261,50918,51,60,420,3,1.2079226507921706e-13,103.72749131781258,0,98758,420,16,14,14,65.0,98,11794,True,2.5,v7-development_formal_dynamic-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787027-crossfit_generalized_entropic-event_triggered-agent_event_triggered,28126.15424976175,50,5223225,15206,2026-08-16T20:39:09.058229+00:00,dd280fde0502c43f203ed7c6011916427cd28a40078a12afc1d29c5a423aa76f,22.0,5321983,15626,1260.7641990222585,nan,nan,nan,nan,nan,nan,nan,nan,84,261,0.3218390804597701,81,0.48148148148148145,-0.005291005291005291,-639.5952274287811,-0.022234610224077102,-8.918066242640222,-0.007662835249042155
170,28,0.4643291331717833,humanitarian,0.4015444015444015,49,38,0,172,50,0.0,2026-08-16T22:33:49.637272+00:00,medium,True,crossfit_strongest_nonentropic,high,14941.358480685978,11217,15,120.69364640902737,0.0406172528581553,4276,259,787028,48732,high,51,60,420,private_fragmented,3,2.8421709430404014e-14,117.65928871782062,high,0,98656,agent_event_triggered,420,16,14,14,59.0,104,13190,True,4.5,v7-development_formal_dynamic-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787028-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,29970.228719673563,69,5049508,14746,event_triggered,2026-08-16T22:32:56.548560+00:00,c4d54cb3641d4d1693425daa2e2474d6a738e3e97cc054e628c80ee08992e778,9.0,random_geometric,5148164,15166,1374.8729013105628,nan,nan,nan,nan,nan,nan,nan,nan,90,259,0.3474903474903475,87,0.4367816091954023,171,28,0.462015097912706,0.4054054054054054,48,39,0,172,49,0.0,2026-08-16T22:43:20.350127+00:00,True,crossfit_generalized_entropic,15755.356991571824,11217,15,118.69364640902738,0.0406172528581553,4276,259,48734,53,60,420,3,2.8421709430404014e-14,108.33892003074,0,98653,420,16,15,15,65.0,105,13190,True,5.0,v7-development_formal_dynamic-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787028-crossfit_generalized_entropic-event_triggered-agent_event_triggered,30212.428487197583,68,5049508,14746,2026-08-16T22:42:25.660506+00:00,c4d54cb3641d4d1693425daa2e2474d6a738e3e97cc054e628c80ee08992e778,9.0,5148161,15166,1378.84101451788,nan,nan,nan,nan,nan,nan,nan,nan,90,259,0.3474903474903475,87,0.4482758620689655,-0.011494252873563204,242.19976752402,0.008081345317362598,-9.320368687080617,0.0
166,28,0.4610856604969298,humanitarian,0.3694779116465863,41,31,0,188,43,0.0,2026-08-16T20:28:23.518772+00:00,medium,True,crossfit_strongest_nonentropic,high,13861.51176050465,13832,15,93.7664136099757,0.0377091442107321,6286,249,787031,55196,high,44,60,420,private_fragmented,3,7.105427357601003e-14,86.16750589198901,high,0,98504,agent_event_triggered,420,16,15,15,66.0,92,15646,True,3.5,v7-development_formal_dynamic-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787031-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,29584.808307546715,54,6019354,17579,event_triggered,2026-08-16T20:27:15.042050+00:00,9f563b11d5d46bbc01e6c28d57a143956e17af6dec56310574b47842e86a9784,9.0,random_geometric,6117858,17999,1356.4765518337683,nan,nan,nan,nan,nan,nan,nan,nan,77,249,0.3092369477911647,72,0.4305555555555556,166,28,0.4595325818454521,0.3775100401606425,45,32,0,188,46,0.0,2026-08-16T20:41:24.469188+00:00,True,crossfit_generalized_entropic,13646.1122174182,13832,15,102.2245025109485,0.0377091442107321,6286,249,55203,46,60,420,3,5.684341886080803e-14,93.06995620144664,0,98501,420,16,15,15,64.0,94,15646,True,4.0,v7-development_formal_dynamic-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787031-crossfit_generalized_entropic-event_triggered-agent_event_triggered,29846.31435810388,58,6019354,17579,2026-08-16T20:40:17.874809+00:00,9f563b11d5d46bbc01e6c28d57a143956e17af6dec56310574b47842e86a9784,9.0,6117855,17999,1363.962351152058,nan,nan,nan,nan,nan,nan,nan,nan,79,249,0.3172690763052209,77,0.4155844155844156,0.014971139971139968,261.5060505571637,0.008839200438234943,6.902450309457635,0.008032128514056214
170,28,0.4575205548902447,humanitarian,0.3396946564885496,36,34,0,176,38,0.0,2026-08-16T22:11:32.431558+00:00,medium,True,crossfit_strongest_nonentropic,high,15394.871731216028,11638,15,76.77626004224457,0.0362965273950198,6960,262,787034,47462,high,46,60,420,private_fragmented,3,5.684341886080803e-14,99.85499048708198,high,0,98938,agent_event_triggered,420,16,14,14,60.0,89,12649,True,2.0,v7-development_formal_dynamic-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787034-crossfit_strongest_nonentropic-event_triggered-agent_event_triggered,30775.05789810897,44,5235774,15225,event_triggered,2026-08-16T22:10:34.787916+00:00,8ca1b2db570f58860b1bba693cdd92ee83e190030f38b8183e1e2ff195b72bb6,22.0,random_geometric,5334712,15645,1387.6742589120447,nan,nan,nan,nan,nan,nan,nan,nan,75,262,0.2862595419847328,70,0.4857142857142857,161,28,0.4577257767732908,0.3548387096774194,36,33,0,176,39,0.0,2026-08-16T22:22:27.074582+00:00,True,crossfit_generalized_entropic,15602.46895882417,11638,15,74.40364815713714,0.0362965273950198,6960,248,47460,44,60,420,3,4.263256414560601e-14,96.49138187595,0,98939,420,16,14,14,60.0,88,12649,True,2.0,v7-development_formal_dynamic-humanitarian-medium-high-high-high-random_geometric-private_fragmented-787034-crossfit_generalized_entropic-event_triggered-agent_event_triggered,31335.98881995336,42,5235774,15225,2026-08-16T22:21:25.944117+00:00,8ca1b2db570f58860b1bba693cdd92ee83e190030f38b8183e1e2ff195b72bb6,22.0,5334713,15645,1408.2162714964018,nan,nan,nan,nan,nan,nan,nan,nan,74,248,0.29838709677419356,69,0.4782608695652174,0.007453416149068304,560.9309218443886,0.018226803137187796,-3.36360861113198,0.01212755478946076
