sender,recipient,messages
UTL-00-zone_operator,UTL-01-crew_dispatch,57
UTL-00-zone_operator,UTL-06-zone_operator,40
UTL-01-crew_dispatch,UTL-00-zone_operator,55
UTL-01-crew_dispatch,UTL-02-cyber_defense,50
UTL-01-crew_dispatch,UTL-07-crew_dispatch,52
UTL-02-cyber_defense,UTL-01-crew_dispatch,67
UTL-02-cyber_defense,UTL-03-communications,68
UTL-02-cyber_defense,UTL-08-cyber_defense,65
UTL-03-communications,UTL-02-cyber_defense,62
UTL-03-communications,UTL-04-resource_allocation,62
UTL-03-communications,UTL-09-communications,65
UTL-04-resource_allocation,UTL-03-communications,58
UTL-04-resource_allocation,UTL-05-critical_load,56
UTL-04-resource_allocation,UTL-10-resource_allocation,52
UTL-05-critical_load,UTL-04-resource_allocation,46
UTL-05-critical_load,UTL-11-critical_load,38
UTL-06-zone_operator,UTL-00-zone_operator,48
UTL-06-zone_operator,UTL-07-crew_dispatch,49
UTL-06-zone_operator,UTL-12-zone_operator,54
UTL-07-crew_dispatch,UTL-01-crew_dispatch,84
UTL-07-crew_dispatch,UTL-06-zone_operator,72
UTL-07-crew_dispatch,UTL-08-cyber_defense,75
UTL-07-crew_dispatch,UTL-13-crew_dispatch,76
UTL-08-cyber_defense,UTL-02-cyber_defense,79
UTL-08-cyber_defense,UTL-07-crew_dispatch,76
UTL-08-cyber_defense,UTL-09-communications,77
UTL-08-cyber_defense,UTL-14-cyber_defense,77
UTL-09-communications,UTL-03-communications,93
UTL-09-communications,UTL-08-cyber_defense,78
UTL-09-communications,UTL-10-resource_allocation,77
UTL-09-communications,UTL-15-communications,76
UTL-10-resource_allocation,UTL-04-resource_allocation,70
UTL-10-resource_allocation,UTL-09-communications,65
UTL-10-resource_allocation,UTL-11-critical_load,63
UTL-10-resource_allocation,UTL-16-resource_allocation,65
UTL-11-critical_load,UTL-05-critical_load,60
UTL-11-critical_load,UTL-10-resource_allocation,57
UTL-11-critical_load,UTL-17-critical_load,56
UTL-12-zone_operator,UTL-06-zone_operator,47
UTL-12-zone_operator,UTL-13-crew_dispatch,52
UTL-12-zone_operator,UTL-18-zone_operator,51
UTL-13-crew_dispatch,UTL-07-crew_dispatch,79
UTL-13-crew_dispatch,UTL-12-zone_operator,73
UTL-13-crew_dispatch,UTL-14-cyber_defense,71
UTL-13-crew_dispatch,UTL-19-crew_dispatch,74
UTL-14-cyber_defense,UTL-08-cyber_defense,92
UTL-14-cyber_defense,UTL-13-crew_dispatch,82
UTL-14-cyber_defense,UTL-15-communications,80
UTL-14-cyber_defense,UTL-20-cyber_defense,80
UTL-15-communications,UTL-09-communications,81
UTL-15-communications,UTL-14-cyber_defense,74
UTL-15-communications,UTL-16-resource_allocation,76
UTL-15-communications,UTL-21-communications,76
UTL-16-resource_allocation,UTL-10-resource_allocation,74
UTL-16-resource_allocation,UTL-15-communications,66
UTL-16-resource_allocation,UTL-17-critical_load,66
UTL-16-resource_allocation,UTL-22-resource_allocation,66
UTL-17-critical_load,UTL-11-critical_load,55
UTL-17-critical_load,UTL-16-resource_allocation,54
UTL-17-critical_load,UTL-23-critical_load,54
UTL-18-zone_operator,UTL-12-zone_operator,44
UTL-18-zone_operator,UTL-19-crew_dispatch,43
UTL-18-zone_operator,UTL-24-zone_operator,42
UTL-19-crew_dispatch,UTL-13-crew_dispatch,72
UTL-19-crew_dispatch,UTL-18-zone_operator,59
UTL-19-crew_dispatch,UTL-20-cyber_defense,59
UTL-19-crew_dispatch,UTL-25-crew_dispatch,58
UTL-20-cyber_defense,UTL-14-cyber_defense,79
UTL-20-cyber_defense,UTL-19-crew_dispatch,73
UTL-20-cyber_defense,UTL-21-communications,69
UTL-20-cyber_defense,UTL-26-cyber_defense,71
UTL-21-communications,UTL-15-communications,76
UTL-21-communications,UTL-20-cyber_defense,68
UTL-21-communications,UTL-22-resource_allocation,66
UTL-21-communications,UTL-27-communications,69
UTL-22-resource_allocation,UTL-16-resource_allocation,60
UTL-22-resource_allocation,UTL-21-communications,56
UTL-22-resource_allocation,UTL-23-critical_load,60
UTL-23-critical_load,UTL-17-critical_load,45
UTL-23-critical_load,UTL-22-resource_allocation,37
UTL-24-zone_operator,UTL-18-zone_operator,36
UTL-24-zone_operator,UTL-25-crew_dispatch,25
UTL-25-crew_dispatch,UTL-19-crew_dispatch,41
UTL-25-crew_dispatch,UTL-24-zone_operator,44
UTL-25-crew_dispatch,UTL-26-cyber_defense,43
UTL-26-cyber_defense,UTL-20-cyber_defense,40
UTL-26-cyber_defense,UTL-25-crew_dispatch,42
UTL-26-cyber_defense,UTL-27-communications,42
UTL-27-communications,UTL-21-communications,50
UTL-27-communications,UTL-26-cyber_defense,40
