cluster_id,application,regime,information_condition,environment_seed,topology_family,scenario_family,policy,score_threshold,eligible_incidents,selected_count,action_coverage,beneficial_count,neutral_count,harmful_count,harmful_action_rate,causal_utility,baseline_service_loss,service_loss,operator_escalations,operator_minutes,maximum_queue_length,selected_candidates,escalated_candidates,sketch_messages,sketch_bytes,operational_messages,operational_bytes,escalation_messages,escalation_bytes,total_messages,total_bytes
commercial|compound|private_fragmented|51118,commercial,compound,private_fragmented,51118,commercial_topology_2,compound_evidence_conflict,mandatory_intervention,0.0,4,2,0.5,1,0,1,0.5,0.08965404390786971,4.592273351453884,4.502619307546015,0,18.0,0,commercial|compound|private_fragmented|51118|supply_02|deploy_repair_capacity;commercial|compound|private_fragmented|51118|supply_01|deploy_repair_capacity,,22,3907,12,1500,0,0,34,5407
commercial|compound|private_fragmented|51119,commercial,compound,private_fragmented,51119,commercial_topology_3,compound_commitment_deadlock,mandatory_intervention,0.0,4,2,0.5,2,0,0,0.0,0.1510230646375103,3.7593610619716697,3.6083379973341594,0,10.0,0,commercial|compound|private_fragmented|51119|supply_01|request_peer_evidence;commercial|compound|private_fragmented|51119|supply_03|verify,,18,3189,12,1455,0,0,30,4644
commercial|compound|private_fragmented|51120,commercial,compound,private_fragmented,51120,commercial_topology_0,compound_unsafe_or_compromised_component,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.1014273561835154,3.401523947089693,3.3000965909061777,0,8.0,0,commercial|compound|private_fragmented|51120|supply_02|request_peer_evidence;commercial|compound|private_fragmented|51120|supply_01|request_peer_evidence,,23,4062,12,1425,0,0,35,5487
commercial|ood|private_fragmented|51101,commercial,ood,private_fragmented,51101,commercial_topology_1,ood_route_or_service_failure,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.0465042218321518,4.008714482837746,3.9622102610055943,0,10.0,0,commercial|ood|private_fragmented|51101|supply_03|request_peer_evidence;commercial|ood|private_fragmented|51101|supply_02|verify,,25,4393,12,1473,0,0,37,5866
commercial|ood|private_fragmented|51102,commercial,ood,private_fragmented,51102,commercial_topology_2,ood_resource_shortage,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.0353191849614025,3.719506419985046,3.6841872350236433,0,10.0,0,commercial|ood|private_fragmented|51102|supply_02|verify;commercial|ood|private_fragmented|51102|supply_03|request_peer_evidence,,22,3864,12,1482,0,0,34,5346
commercial|ood|private_fragmented|51103,commercial,ood,private_fragmented,51103,commercial_topology_3,ood_commitment_deadlock,mandatory_intervention,0.0,4,2,0.5,0,2,0,0.0,0.0,4.351177233289936,4.351177233289936,0,8.0,0,commercial|ood|private_fragmented|51103|supply_01|request_peer_evidence;commercial|ood|private_fragmented|51103|supply_03|request_peer_evidence,,19,3324,12,1473,0,0,31,4797
commercial|ood|private_fragmented|51104,commercial,ood,private_fragmented,51104,commercial_topology_0,ood_commitment_deadlock,mandatory_intervention,0.0,4,2,0.5,1,0,1,0.5,0.0176593678771645,4.181127919504883,4.163468551627719,0,15.0,0,commercial|ood|private_fragmented|51104|supply_03|deploy_repair_capacity;commercial|ood|private_fragmented|51104|supply_02|verify,,21,3679,12,1410,0,0,33,5089
commercial|ood|private_fragmented|51105,commercial,ood,private_fragmented,51105,commercial_topology_1,ood_unsafe_or_compromised_component,mandatory_intervention,0.0,4,2,0.5,0,2,0,0.0,0.0,3.360765473932443,3.360765473932443,0,8.0,0,commercial|ood|private_fragmented|51105|supply_03|request_peer_evidence;commercial|ood|private_fragmented|51105|supply_01|request_peer_evidence,,25,4377,12,1497,0,0,37,5874
commercial|ood|private_fragmented|51106,commercial,ood,private_fragmented,51106,commercial_topology_2,ood_unsafe_or_compromised_component,mandatory_intervention,0.0,4,2,0.5,1,0,1,0.5,0.04582417639934179,4.057855025061282,4.01203084866194,0,15.0,0,commercial|ood|private_fragmented|51106|supply_01|verify;commercial|ood|private_fragmented|51106|supply_04|deploy_repair_capacity,,24,4212,12,1449,0,0,36,5661
commercial|ood|private_fragmented|51107,commercial,ood,private_fragmented,51107,commercial_topology_3,ood_commitment_deadlock,mandatory_intervention,0.0,4,2,0.5,2,0,0,0.0,0.15605921041090332,3.7567784406368165,3.6007192302259132,0,12.0,0,commercial|ood|private_fragmented|51107|supply_04|verify;commercial|ood|private_fragmented|51107|supply_03|verify,,20,3500,12,1473,0,0,32,4973
commercial|ood|private_fragmented|51108,commercial,ood,private_fragmented,51108,commercial_topology_0,ood_evidence_conflict,mandatory_intervention,0.0,4,2,0.5,0,2,0,0.0,0.0,3.3897227612403356,3.3897227612403356,0,8.0,0,commercial|ood|private_fragmented|51108|supply_01|request_peer_evidence;commercial|ood|private_fragmented|51108|supply_04|request_peer_evidence,,25,4378,12,1473,0,0,37,5851
commercial|ood|private_fragmented|51109,commercial,ood,private_fragmented,51109,commercial_topology_1,ood_unsafe_or_compromised_component,mandatory_intervention,0.0,4,2,0.5,0,2,0,0.0,0.0,4.346756847794644,4.346756847794644,0,8.0,0,commercial|ood|private_fragmented|51109|supply_01|request_peer_evidence;commercial|ood|private_fragmented|51109|supply_03|request_peer_evidence,,21,3675,12,1470,0,0,33,5145
commercial|ood|private_fragmented|51110,commercial,ood,private_fragmented,51110,commercial_topology_2,ood_unsafe_or_compromised_component,mandatory_intervention,0.0,3,2,0.6666666666666666,0,1,1,0.5,-0.2639342379992473,3.5467160830568147,3.810650321056062,0,10.0,0,commercial|ood|private_fragmented|51110|supply_02|request_peer_evidence;commercial|ood|private_fragmented|51110|supply_03|verify,,26,4574,12,1494,0,0,38,6068
commercial|ood|private_fragmented|51111,commercial,ood,private_fragmented,51111,commercial_topology_3,ood_route_or_service_failure,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.1035122608591321,3.9382304112895703,3.8347181504304384,0,8.0,0,commercial|ood|private_fragmented|51111|supply_02|request_peer_evidence;commercial|ood|private_fragmented|51111|supply_03|request_peer_evidence,,22,3860,12,1455,0,0,34,5315
commercial|ood|private_fragmented|51112,commercial,ood,private_fragmented,51112,commercial_topology_0,ood_commitment_deadlock,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.1087095122373589,3.5864828265754793,3.4777733143381204,0,10.0,0,commercial|ood|private_fragmented|51112|supply_01|request_peer_evidence;commercial|ood|private_fragmented|51112|supply_04|verify,,23,4024,12,1473,0,0,35,5497
commercial|ood|private_fragmented|51113,commercial,ood,private_fragmented,51113,commercial_topology_1,ood_resource_shortage,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.1273814315532572,2.934419941491745,2.807038509938488,0,8.0,0,commercial|ood|private_fragmented|51113|supply_04|request_peer_evidence;commercial|ood|private_fragmented|51113|supply_01|request_peer_evidence,,19,3366,12,1416,0,0,31,4782
commercial|ood|private_fragmented|51114,commercial,ood,private_fragmented,51114,commercial_topology_2,ood_unsafe_or_compromised_component,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.1964115884071398,3.646045793484041,3.4496342050769013,0,10.0,0,commercial|ood|private_fragmented|51114|supply_04|request_peer_evidence;commercial|ood|private_fragmented|51114|supply_01|verify,,24,4248,12,1497,0,0,36,5745
commercial|ood|private_fragmented|51115,commercial,ood,private_fragmented,51115,commercial_topology_3,ood_evidence_conflict,mandatory_intervention,0.0,4,2,0.5,0,2,0,0.0,0.0,4.29697275198466,4.29697275198466,0,8.0,0,commercial|ood|private_fragmented|51115|supply_04|request_peer_evidence;commercial|ood|private_fragmented|51115|supply_02|request_peer_evidence,,23,4038,12,1425,0,0,35,5463
commercial|ood|private_fragmented|51116,commercial,ood,private_fragmented,51116,commercial_topology_0,ood_resource_shortage,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.3174318918959662,4.1524604898275195,3.8350285979315535,0,12.0,0,commercial|ood|private_fragmented|51116|supply_04|request_peer_evidence;commercial|ood|private_fragmented|51116|supply_01|authorize_emergency_resource,,26,4556,12,1470,0,0,38,6026
commercial|ood|private_fragmented|51117,commercial,ood,private_fragmented,51117,commercial_topology_1,ood_commitment_deadlock,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.0006769740875882,3.495568411049983,3.4948914369623947,0,13.0,0,commercial|ood|private_fragmented|51117|supply_04|deploy_repair_capacity;commercial|ood|private_fragmented|51117|supply_01|request_peer_evidence,,26,4573,12,1449,0,0,38,6022
commercial|ood|private_fragmented|51118,commercial,ood,private_fragmented,51118,commercial_topology_2,ood_evidence_conflict,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.2382502569394485,3.8839157991242814,3.6456655421848327,0,12.0,0,commercial|ood|private_fragmented|51118|supply_02|reroute_or_reconfigure;commercial|ood|private_fragmented|51118|supply_04|request_peer_evidence,,22,3845,12,1467,0,0,34,5312
commercial|ood|private_fragmented|51119,commercial,ood,private_fragmented,51119,commercial_topology_3,ood_unsafe_or_compromised_component,mandatory_intervention,0.0,4,2,0.5,2,0,0,0.0,0.1410299700485344,3.1643557898584094,3.023325819809875,0,10.0,0,commercial|ood|private_fragmented|51119|supply_04|request_peer_evidence;commercial|ood|private_fragmented|51119|supply_01|verify,,20,3510,12,1473,0,0,32,4983
commercial|ood|private_fragmented|51120,commercial,ood,private_fragmented,51120,commercial_topology_0,ood_resource_shortage,mandatory_intervention,0.0,3,2,0.6666666666666666,1,1,0,0.0,0.0567834462227601,3.2472429082353127,3.1904594620125524,0,10.0,0,commercial|ood|private_fragmented|51120|supply_03|verify;commercial|ood|private_fragmented|51120|supply_02|request_peer_evidence,,19,3351,12,1491,0,0,31,4842
commercial|partition|private_fragmented|51101,commercial,partition,private_fragmented,51101,commercial_topology_1,partition_resource_shortage,mandatory_intervention,0.0,4,2,0.5,0,1,1,0.5,-0.1908958364420543,3.568029582934165,3.758925419376219,0,10.0,0,commercial|partition|private_fragmented|51101|supply_02|request_peer_evidence;commercial|partition|private_fragmented|51101|supply_01|verify,,20,3523,12,1410,0,0,32,4933
commercial|partition|private_fragmented|51102,commercial,partition,private_fragmented,51102,commercial_topology_2,partition_unsafe_or_compromised_component,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.0320304584174185,3.243060473297852,3.2110300148804334,0,10.0,0,commercial|partition|private_fragmented|51102|supply_02|verify;commercial|partition|private_fragmented|51102|supply_03|request_peer_evidence,,23,4036,12,1488,0,0,35,5524
commercial|partition|private_fragmented|51103,commercial,partition,private_fragmented,51103,commercial_topology_3,partition_resource_shortage,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.0865974271714565,2.956903229561877,2.8703058023904204,0,8.0,0,commercial|partition|private_fragmented|51103|supply_04|request_peer_evidence;commercial|partition|private_fragmented|51103|supply_03|request_peer_evidence,,24,4215,12,1425,0,0,36,5640
commercial|partition|private_fragmented|51104,commercial,partition,private_fragmented,51104,commercial_topology_0,partition_unsafe_or_compromised_component,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.0237638670956574,2.8663882804171683,2.842624413321511,0,10.0,0,commercial|partition|private_fragmented|51104|supply_03|request_peer_evidence;commercial|partition|private_fragmented|51104|supply_01|verify,,25,4403,12,1497,0,0,37,5900
commercial|partition|private_fragmented|51105,commercial,partition,private_fragmented,51105,commercial_topology_1,partition_resource_shortage,mandatory_intervention,0.0,4,2,0.5,2,0,0,0.0,0.052262638337951695,3.314609805474852,3.2623471671369004,0,15.0,0,commercial|partition|private_fragmented|51105|supply_03|deploy_repair_capacity;commercial|partition|private_fragmented|51105|supply_02|verify,,24,4232,12,1425,0,0,36,5657
commercial|partition|private_fragmented|51106,commercial,partition,private_fragmented,51106,commercial_topology_2,partition_unsafe_or_compromised_component,mandatory_intervention,0.0,3,2,0.6666666666666666,2,0,0,0.0,0.1798057693285785,2.3785048214599773,2.1986990521313987,0,15.0,0,commercial|partition|private_fragmented|51106|supply_04|deploy_repair_capacity;commercial|partition|private_fragmented|51106|supply_01|verify,,24,4263,12,1497,0,0,36,5760
commercial|partition|private_fragmented|51107,commercial,partition,private_fragmented,51107,commercial_topology_3,partition_commitment_deadlock,mandatory_intervention,0.0,4,2,0.5,2,0,0,0.0,0.1294156384492272,3.330289309628708,3.200873671179481,0,12.0,0,commercial|partition|private_fragmented|51107|supply_04|verify;commercial|partition|private_fragmented|51107|supply_02|verify,,18,3166,12,1452,0,0,30,4618
commercial|partition|private_fragmented|51108,commercial,partition,private_fragmented,51108,commercial_topology_0,partition_route_or_service_failure,mandatory_intervention,0.0,4,2,0.5,0,1,1,0.5,-0.254238308441853,2.8959139568184966,3.1501522652603495,0,8.0,0,commercial|partition|private_fragmented|51108|supply_02|request_peer_evidence;commercial|partition|private_fragmented|51108|supply_01|request_peer_evidence,,22,3889,12,1425,0,0,34,5314
commercial|partition|private_fragmented|51109,commercial,partition,private_fragmented,51109,commercial_topology_1,partition_route_or_service_failure,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.0363194056440019,2.801086668857298,2.7647672632132965,0,10.0,0,commercial|partition|private_fragmented|51109|supply_02|verify;commercial|partition|private_fragmented|51109|supply_03|request_peer_evidence,,20,3525,12,1494,0,0,32,5019
commercial|partition|private_fragmented|51110,commercial,partition,private_fragmented,51110,commercial_topology_2,partition_resource_shortage,mandatory_intervention,0.0,3,2,0.6666666666666666,1,1,0,0.0,0.1197598721506166,2.982212750075394,2.862452877924777,0,12.0,0,commercial|partition|private_fragmented|51110|supply_03|verify;commercial|partition|private_fragmented|51110|supply_04|verify,,23,4069,12,1422,0,0,35,5491
commercial|partition|private_fragmented|51111,commercial,partition,private_fragmented,51111,commercial_topology_3,partition_resource_shortage,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.0937952842978076,3.5765660716643293,3.4827707873665217,0,8.0,0,commercial|partition|private_fragmented|51111|supply_02|request_peer_evidence;commercial|partition|private_fragmented|51111|supply_03|request_peer_evidence,,20,3544,12,1437,0,0,32,4981
commercial|partition|private_fragmented|51112,commercial,partition,private_fragmented,51112,commercial_topology_0,partition_route_or_service_failure,mandatory_intervention,0.0,4,2,0.5,2,0,0,0.0,0.0667894572255931,3.360984316301465,3.2941948590758723,0,12.0,0,commercial|partition|private_fragmented|51112|supply_01|verify;commercial|partition|private_fragmented|51112|supply_04|verify,,26,4580,12,1476,0,0,38,6056
commercial|partition|private_fragmented|51113,commercial,partition,private_fragmented,51113,commercial_topology_1,partition_evidence_conflict,mandatory_intervention,0.0,4,2,0.5,2,0,0,0.0,0.1641182994891826,2.4370362600678814,2.272917960578699,0,8.0,0,commercial|partition|private_fragmented|51113|supply_04|request_peer_evidence;commercial|partition|private_fragmented|51113|supply_01|request_peer_evidence,,21,3743,12,1443,0,0,33,5186
commercial|partition|private_fragmented|51114,commercial,partition,private_fragmented,51114,commercial_topology_2,partition_unsafe_or_compromised_component,mandatory_intervention,0.0,2,2,1.0,1,1,0,0.0,0.027370615122315,3.5426902961384084,3.515319681016093,0,10.0,0,commercial|partition|private_fragmented|51114|supply_04|request_peer_evidence;commercial|partition|private_fragmented|51114|supply_01|verify,,21,3681,12,1476,0,0,33,5157
commercial|partition|private_fragmented|51115,commercial,partition,private_fragmented,51115,commercial_topology_3,partition_commitment_deadlock,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.4167420703504032,3.382338136709525,2.9655960663591214,0,15.0,0,commercial|partition|private_fragmented|51115|supply_01|revise_commitment;commercial|partition|private_fragmented|51115|supply_04|reroute_or_reconfigure,,24,4251,12,1416,0,0,36,5667
commercial|partition|private_fragmented|51116,commercial,partition,private_fragmented,51116,commercial_topology_0,partition_unsafe_or_compromised_component,mandatory_intervention,0.0,4,2,0.5,1,0,1,0.5,-0.4911725227638461,3.1096204891120505,3.6007930118758966,0,18.0,0,commercial|partition|private_fragmented|51116|supply_04|deploy_repair_capacity;commercial|partition|private_fragmented|51116|supply_03|deploy_repair_capacity,,21,3677,12,1425,0,0,33,5102
commercial|partition|private_fragmented|51117,commercial,partition,private_fragmented,51117,commercial_topology_1,partition_commitment_deadlock,mandatory_intervention,0.0,3,2,0.6666666666666666,1,0,1,0.5,-0.4528283781577646,3.253002390442191,3.7058307685999554,0,18.0,0,commercial|partition|private_fragmented|51117|supply_02|deploy_repair_capacity;commercial|partition|private_fragmented|51117|supply_04|deploy_repair_capacity,,24,4236,12,1443,0,0,36,5679
commercial|partition|private_fragmented|51118,commercial,partition,private_fragmented,51118,commercial_topology_2,partition_commitment_deadlock,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.4946710871683442,3.6259275524514836,3.1312564652831396,0,10.0,0,commercial|partition|private_fragmented|51118|supply_01|request_peer_evidence;commercial|partition|private_fragmented|51118|supply_02|verify,,20,3523,12,1482,0,0,32,5005
commercial|partition|private_fragmented|51119,commercial,partition,private_fragmented,51119,commercial_topology_3,partition_unsafe_or_compromised_component,mandatory_intervention,0.0,4,2,0.5,2,0,0,0.0,0.1379748445445867,3.4351315522347123,3.297156707690126,0,15.0,0,commercial|partition|private_fragmented|51119|supply_01|verify;commercial|partition|private_fragmented|51119|supply_03|deploy_repair_capacity,,20,3520,12,1500,0,0,32,5020
commercial|partition|private_fragmented|51120,commercial,partition,private_fragmented,51120,commercial_topology_0,partition_resource_shortage,mandatory_intervention,0.0,4,2,0.5,1,0,1,0.5,-0.07162349043019389,3.157822701322414,3.229446191752608,0,8.0,0,commercial|partition|private_fragmented|51120|supply_02|request_peer_evidence;commercial|partition|private_fragmented|51120|supply_01|request_peer_evidence,,19,3369,12,1446,0,0,31,4815
commercial|telemetry_integrity|private_fragmented|51101,commercial,telemetry_integrity,private_fragmented,51101,commercial_topology_1,telemetry_integrity_evidence_conflict,mandatory_intervention,0.0,3,2,0.6666666666666666,2,0,0,0.0,0.1044913036050429,2.6841642800295697,2.579672976424527,0,12.0,0,commercial|telemetry_integrity|private_fragmented|51101|supply_02|verify;commercial|telemetry_integrity|private_fragmented|51101|supply_01|verify,,22,3852,12,1434,0,0,34,5286
commercial|telemetry_integrity|private_fragmented|51102,commercial,telemetry_integrity,private_fragmented,51102,commercial_topology_2,telemetry_integrity_route_or_service_failure,mandatory_intervention,0.0,3,2,0.6666666666666666,2,0,0,0.0,0.1128406080670035,2.805024794947176,2.6921841868801724,0,10.0,0,commercial|telemetry_integrity|private_fragmented|51102|supply_03|request_peer_evidence;commercial|telemetry_integrity|private_fragmented|51102|supply_01|verify,,19,3336,12,1413,0,0,31,4749
commercial|telemetry_integrity|private_fragmented|51103,commercial,telemetry_integrity,private_fragmented,51103,commercial_topology_3,telemetry_integrity_resource_shortage,mandatory_intervention,0.0,4,2,0.5,1,0,1,0.5,0.10344368782649188,3.1106679862766087,3.007224298450117,0,10.0,0,commercial|telemetry_integrity|private_fragmented|51103|supply_02|verify;commercial|telemetry_integrity|private_fragmented|51103|supply_04|request_peer_evidence,,22,3863,12,1467,0,0,34,5330
commercial|telemetry_integrity|private_fragmented|51104,commercial,telemetry_integrity,private_fragmented,51104,commercial_topology_0,telemetry_integrity_resource_shortage,mandatory_intervention,0.0,3,2,0.6666666666666666,1,0,1,0.5,0.4869086655025001,3.041883564956482,2.554974899453982,0,17.0,0,commercial|telemetry_integrity|private_fragmented|51104|supply_03|reroute_or_reconfigure;commercial|telemetry_integrity|private_fragmented|51104|supply_01|deploy_repair_capacity,,22,3847,12,1461,0,0,34,5308
commercial|telemetry_integrity|private_fragmented|51105,commercial,telemetry_integrity,private_fragmented,51105,commercial_topology_1,telemetry_integrity_evidence_conflict,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.0312570609036105,3.291335529200087,3.2600784682964763,0,10.0,0,commercial|telemetry_integrity|private_fragmented|51105|supply_02|verify;commercial|telemetry_integrity|private_fragmented|51105|supply_01|request_peer_evidence,,26,4558,12,1494,0,0,38,6052
commercial|telemetry_integrity|private_fragmented|51106,commercial,telemetry_integrity,private_fragmented,51106,commercial_topology_2,telemetry_integrity_route_or_service_failure,mandatory_intervention,0.0,3,2,0.6666666666666666,1,0,1,0.5,-0.3838205227801165,2.4791827785736293,2.863003301353746,0,13.0,0,commercial|telemetry_integrity|private_fragmented|51106|supply_03|request_peer_evidence;commercial|telemetry_integrity|private_fragmented|51106|supply_04|deploy_repair_capacity,,19,3347,12,1467,0,0,31,4814
commercial|telemetry_integrity|private_fragmented|51107,commercial,telemetry_integrity,private_fragmented,51107,commercial_topology_3,telemetry_integrity_resource_shortage,mandatory_intervention,0.0,4,2,0.5,1,0,1,0.5,-0.0005002797612932985,3.298647093497622,3.2991473732589154,0,15.0,0,commercial|telemetry_integrity|private_fragmented|51107|supply_02|verify;commercial|telemetry_integrity|private_fragmented|51107|supply_01|deploy_repair_capacity,,20,3495,12,1476,0,0,32,4971
commercial|telemetry_integrity|private_fragmented|51108,commercial,telemetry_integrity,private_fragmented,51108,commercial_topology_0,telemetry_integrity_route_or_service_failure,mandatory_intervention,0.0,3,2,0.6666666666666666,0,0,2,1.0,-0.5035086813337923,3.2498437632713935,3.753352444605186,0,8.0,0,commercial|telemetry_integrity|private_fragmented|51108|supply_04|request_peer_evidence;commercial|telemetry_integrity|private_fragmented|51108|supply_01|request_peer_evidence,,18,3181,12,1512,0,0,30,4693
commercial|telemetry_integrity|private_fragmented|51109,commercial,telemetry_integrity,private_fragmented,51109,commercial_topology_1,telemetry_integrity_resource_shortage,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.0802225513527288,2.515983605203487,2.4357610538507584,0,10.0,0,commercial|telemetry_integrity|private_fragmented|51109|supply_02|verify;commercial|telemetry_integrity|private_fragmented|51109|supply_03|request_peer_evidence,,21,3699,12,1476,0,0,33,5175
commercial|telemetry_integrity|private_fragmented|51110,commercial,telemetry_integrity,private_fragmented,51110,commercial_topology_2,telemetry_integrity_evidence_conflict,mandatory_intervention,0.0,1,1,1.0,1,0,0,0.0,0.1024911758451685,2.617067555477961,2.5145763796327927,0,4.0,0,commercial|telemetry_integrity|private_fragmented|51110|supply_03|request_peer_evidence,,24,4207,12,1455,0,0,36,5662
commercial|telemetry_integrity|private_fragmented|51111,commercial,telemetry_integrity,private_fragmented,51111,commercial_topology_3,telemetry_integrity_route_or_service_failure,mandatory_intervention,0.0,3,2,0.6666666666666666,1,0,1,0.5,0.02715368978866911,2.5589410379964166,2.5317873482077475,0,10.0,0,commercial|telemetry_integrity|private_fragmented|51111|supply_03|request_peer_evidence;commercial|telemetry_integrity|private_fragmented|51111|supply_01|verify,,20,3521,12,1464,0,0,32,4985
commercial|telemetry_integrity|private_fragmented|51112,commercial,telemetry_integrity,private_fragmented,51112,commercial_topology_0,telemetry_integrity_evidence_conflict,mandatory_intervention,0.0,3,2,0.6666666666666666,1,1,0,0.0,0.4485962294521447,3.5648320903558823,3.1162358609037377,0,10.0,0,commercial|telemetry_integrity|private_fragmented|51112|supply_01|verify;commercial|telemetry_integrity|private_fragmented|51112|supply_03|request_peer_evidence,,26,4563,12,1479,0,0,38,6042
commercial|telemetry_integrity|private_fragmented|51113,commercial,telemetry_integrity,private_fragmented,51113,commercial_topology_1,telemetry_integrity_commitment_deadlock,mandatory_intervention,0.0,4,2,0.5,2,0,0,0.0,0.10489443746820509,2.36649769660108,2.2616032591328747,0,10.0,0,commercial|telemetry_integrity|private_fragmented|51113|supply_01|request_peer_evidence;commercial|telemetry_integrity|private_fragmented|51113|supply_02|verify,,23,4061,12,1485,0,0,35,5546
commercial|telemetry_integrity|private_fragmented|51114,commercial,telemetry_integrity,private_fragmented,51114,commercial_topology_2,telemetry_integrity_unsafe_or_compromised_component,mandatory_intervention,0.0,1,1,1.0,0,1,0,0.0,0.0,3.094968122837726,3.094968122837726,0,4.0,0,commercial|telemetry_integrity|private_fragmented|51114|supply_04|request_peer_evidence,,18,3164,12,1425,0,0,30,4589
commercial|telemetry_integrity|private_fragmented|51115,commercial,telemetry_integrity,private_fragmented,51115,commercial_topology_3,telemetry_integrity_unsafe_or_compromised_component,mandatory_intervention,0.0,4,2,0.5,2,0,0,0.0,0.42075142269127325,3.0547829673646483,2.634031544673375,0,14.0,0,commercial|telemetry_integrity|private_fragmented|51115|supply_04|reroute_or_reconfigure;commercial|telemetry_integrity|private_fragmented|51115|supply_01|verify,,23,4035,12,1425,0,0,35,5460
commercial|telemetry_integrity|private_fragmented|51116,commercial,telemetry_integrity,private_fragmented,51116,commercial_topology_0,telemetry_integrity_unsafe_or_compromised_component,mandatory_intervention,0.0,4,2,0.5,0,0,2,1.0,-0.7526901814738136,2.9940419647457945,3.746732146219608,0,15.0,0,commercial|telemetry_integrity|private_fragmented|51116|supply_04|deploy_repair_capacity;commercial|telemetry_integrity|private_fragmented|51116|supply_02|verify,,18,3174,12,1467,0,0,30,4641
commercial|telemetry_integrity|private_fragmented|51117,commercial,telemetry_integrity,private_fragmented,51117,commercial_topology_1,telemetry_integrity_unsafe_or_compromised_component,mandatory_intervention,0.0,3,2,0.6666666666666666,0,2,0,0.0,0.0,3.0405162547600493,3.0405162547600493,0,10.0,0,commercial|telemetry_integrity|private_fragmented|51117|supply_04|request_peer_evidence;commercial|telemetry_integrity|private_fragmented|51117|supply_02|verify,,24,4233,12,1431,0,0,36,5664
commercial|telemetry_integrity|private_fragmented|51118,commercial,telemetry_integrity,private_fragmented,51118,commercial_topology_2,telemetry_integrity_unsafe_or_compromised_component,mandatory_intervention,0.0,4,2,0.5,1,1,0,0.0,0.0390990925241023,3.063806524485056,3.0247074319609535,0,10.0,0,commercial|telemetry_integrity|private_fragmented|51118|supply_04|request_peer_evidence;commercial|telemetry_integrity|private_fragmented|51118|supply_02|verify,,20,3538,12,1473,0,0,32,5011
commercial|telemetry_integrity|private_fragmented|51119,commercial,telemetry_integrity,private_fragmented,51119,commercial_topology_3,telemetry_integrity_unsafe_or_compromised_component,mandatory_intervention,0.0,4,2,0.5,2,0,0,0.0,0.1406913091831075,3.4550003552485906,3.314309046065483,0,10.0,0,commercial|telemetry_integrity|private_fragmented|51119|supply_04|request_peer_evidence;commercial|telemetry_integrity|private_fragmented|51119|supply_01|verify,,20,3511,12,1419,0,0,32,4930
commercial|telemetry_integrity|private_fragmented|51120,commercial,telemetry_integrity,private_fragmented,51120,commercial_topology_0,telemetry_integrity_commitment_deadlock,mandatory_intervention,0.0,4,2,0.5,0,2,0,0.0,0.0,3.531684004944977,3.531684004944977,0,11.0,0,commercial|telemetry_integrity|private_fragmented|51120|supply_01|revise_commitment;commercial|telemetry_integrity|private_fragmented|51120|supply_02|request_peer_evidence,,22,3883,12,1416,0,0,34,5299
commercial|compound|private_fragmented|51101,commercial,compound,private_fragmented,51101,commercial_topology_1,compound_unsafe_or_compromised_component,coverage_matched_no_consensus,0.0131444862502522,4,2,0.5,2,0,0,0.0,0.2165520362812784,3.224477106665769,3.0079250703844904,0,10.0,0,commercial|compound|private_fragmented|51101|supply_01|verify;commercial|compound|private_fragmented|51101|supply_03|request_peer_evidence,,25,4443,12,1452,0,0,37,5895
commercial|compound|private_fragmented|51102,commercial,compound,private_fragmented,51102,commercial_topology_2,compound_evidence_conflict,coverage_matched_no_consensus,0.0131444862502522,4,1,0.25,0,1,0,0.0,0.0,3.261742340231626,3.261742340231626,0,6.0,0,commercial|compound|private_fragmented|51102|supply_01|verify,,23,4024,12,1431,0,0,35,5455
commercial|compound|private_fragmented|51103,commercial,compound,private_fragmented,51103,commercial_topology_3,compound_unsafe_or_compromised_component,coverage_matched_no_consensus,0.0131444862502522,4,1,0.25,1,0,0,0.0,0.1304050840169734,4.469623910682611,4.339218826665637,0,4.0,0,commercial|compound|private_fragmented|51103|supply_03|request_peer_evidence,,20,3524,12,1401,0,0,32,4925
