application,information_condition,feature_block,fold,selected_c,training_rows,test_rows,training_panels,test_panels,environment_seed_disjoint,topology_family_disjoint,scenario_family_disjoint,calibration_split_family,conformal_level
commercial,private_fragmented,kpi_confidence,1,0.3,240,60,12,3,True,True,True,,
commercial,private_fragmented,kpi_confidence,2,3.0,240,60,12,3,True,True,True,,
commercial,private_fragmented,kpi_confidence,3,3.0,240,60,12,3,True,True,True,,
commercial,private_fragmented,kpi_confidence,4,1.0,240,60,12,3,True,True,True,,
commercial,private_fragmented,kpi_confidence,5,0.3,240,60,12,3,True,True,True,,
commercial,private_fragmented,predictive_uncertainty,1,0.1,240,60,12,3,True,True,True,,
commercial,private_fragmented,predictive_uncertainty,2,3.0,240,60,12,3,True,True,True,,
commercial,private_fragmented,predictive_uncertainty,3,3.0,240,60,12,3,True,True,True,,
commercial,private_fragmented,predictive_uncertainty,4,0.3,240,60,12,3,True,True,True,,
commercial,private_fragmented,predictive_uncertainty,5,0.1,240,60,12,3,True,True,True,,
commercial,private_fragmented,shannon_js,1,0.1,240,60,12,3,True,True,True,,
commercial,private_fragmented,shannon_js,2,0.3,240,60,12,3,True,True,True,,
commercial,private_fragmented,shannon_js,3,3.0,240,60,12,3,True,True,True,,
commercial,private_fragmented,shannon_js,4,1.0,240,60,12,3,True,True,True,,
commercial,private_fragmented,shannon_js,5,0.3,240,60,12,3,True,True,True,,
commercial,private_fragmented,generalized_tsallis_gini,1,0.3,240,60,12,3,True,True,True,,
commercial,private_fragmented,generalized_tsallis_gini,2,3.0,240,60,12,3,True,True,True,,
commercial,private_fragmented,generalized_tsallis_gini,3,1.0,240,60,12,3,True,True,True,,
commercial,private_fragmented,generalized_tsallis_gini,4,1.0,240,60,12,3,True,True,True,,
commercial,private_fragmented,generalized_tsallis_gini,5,0.3,240,60,12,3,True,True,True,,
commercial,private_fragmented,combined_generalized_entropic,1,0.1,240,60,12,3,True,True,True,,
commercial,private_fragmented,combined_generalized_entropic,2,1.0,240,60,12,3,True,True,True,,
commercial,private_fragmented,combined_generalized_entropic,3,0.3,240,60,12,3,True,True,True,,
commercial,private_fragmented,combined_generalized_entropic,4,1.0,240,60,12,3,True,True,True,,
commercial,private_fragmented,combined_generalized_entropic,5,0.1,240,60,12,3,True,True,True,,
commercial,private_fragmented,conformal_risk_control,1,0.1,240,60,12,3,True,True,True,commercial_v6_split_4,0.9
commercial,private_fragmented,conformal_risk_control,2,0.1,240,60,12,3,True,True,True,commercial_v6_split_4,0.9
commercial,private_fragmented,conformal_risk_control,3,0.3,240,60,12,3,True,True,True,commercial_v6_split_4,0.9
commercial,private_fragmented,conformal_risk_control,4,0.3,240,60,12,3,True,True,True,commercial_v6_split_4,0.9
commercial,private_fragmented,conformal_risk_control,5,0.3,240,60,12,3,True,True,True,commercial_v6_split_3,0.9
commercial,public_shared,kpi_confidence,1,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,kpi_confidence,2,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,kpi_confidence,3,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,kpi_confidence,4,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,kpi_confidence,5,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,predictive_uncertainty,1,1.0,240,60,12,3,True,True,True,,
commercial,public_shared,predictive_uncertainty,2,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,predictive_uncertainty,3,1.0,240,60,12,3,True,True,True,,
commercial,public_shared,predictive_uncertainty,4,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,predictive_uncertainty,5,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,shannon_js,1,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,shannon_js,2,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,shannon_js,3,1.0,240,60,12,3,True,True,True,,
commercial,public_shared,shannon_js,4,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,shannon_js,5,1.0,240,60,12,3,True,True,True,,
commercial,public_shared,generalized_tsallis_gini,1,1.0,240,60,12,3,True,True,True,,
commercial,public_shared,generalized_tsallis_gini,2,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,generalized_tsallis_gini,3,1.0,240,60,12,3,True,True,True,,
commercial,public_shared,generalized_tsallis_gini,4,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,generalized_tsallis_gini,5,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,combined_generalized_entropic,1,1.0,240,60,12,3,True,True,True,,
commercial,public_shared,combined_generalized_entropic,2,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,combined_generalized_entropic,3,1.0,240,60,12,3,True,True,True,,
commercial,public_shared,combined_generalized_entropic,4,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,combined_generalized_entropic,5,3.0,240,60,12,3,True,True,True,,
commercial,public_shared,conformal_risk_control,1,3.0,240,60,12,3,True,True,True,commercial_v6_split_4,0.9
commercial,public_shared,conformal_risk_control,2,1.0,240,60,12,3,True,True,True,commercial_v6_split_4,0.9
commercial,public_shared,conformal_risk_control,3,0.3,240,60,12,3,True,True,True,commercial_v6_split_4,0.9
commercial,public_shared,conformal_risk_control,4,1.0,240,60,12,3,True,True,True,commercial_v6_split_4,0.9
commercial,public_shared,conformal_risk_control,5,1.0,240,60,12,3,True,True,True,commercial_v6_split_3,0.9
humanitarian,private_fragmented,kpi_confidence,1,0.1,240,60,12,3,True,True,True,,
humanitarian,private_fragmented,kpi_confidence,2,0.1,240,60,12,3,True,True,True,,
humanitarian,private_fragmented,kpi_confidence,3,0.3,240,60,12,3,True,True,True,,
