application,layer,source,target,weight_forward,weight_reverse
humanitarian,communication,50,62,1,1
humanitarian,communication,51,59,1,1
humanitarian,communication,51,60,1,1
humanitarian,dependency,51,62,1,1
humanitarian,communication,51,63,1,1
humanitarian,communication,52,53,1,1
humanitarian,communication,52,54,1,1
humanitarian,dependency,52,58,1,1
humanitarian,communication,52,61,1,1
humanitarian,communication,52,63,1,1
humanitarian,communication,53,56,1,1
humanitarian,communication,53,59,1,1
humanitarian,dependency,54,56,1,1
humanitarian,communication,55,59,1,1
humanitarian,communication,55,61,1,1
humanitarian,communication,57,58,1,1
humanitarian,dependency,57,59,1,1
humanitarian,communication,57,60,1,1
humanitarian,communication,58,63,1,1
humanitarian,communication,59,60,1,1
humanitarian,dependency,59,63,1,1
humanitarian,dependency,60,61,1,1
humanitarian,dependency,60,62,1,1
humanitarian,communication,60,63,1,1
humanitarian,communication,61,62,1,1
humanitarian,communication,61,63,1,1
utility,communication,0,1,0.45,1.55
utility,dependency,0,1,1,1
utility,dependency,0,2,1,1
utility,dependency,0,3,1,1
utility,communication,0,5,1.55,0.45
utility,communication,0,6,0.45,1.55
utility,communication,0,7,0.45,1.55
utility,communication,0,9,0.45,1.55
utility,communication,0,16,0.45,1.55
utility,communication,0,17,0.45,1.55
utility,communication,0,19,1.55,0.45
utility,communication,0,21,0.45,1.55
utility,communication,0,25,0.45,1.55
utility,communication,0,27,1.55,0.45
utility,communication,0,28,1.55,0.45
utility,dependency,0,34,1,1
utility,communication,1,5,0.45,1.55
utility,communication,1,8,0.45,1.55
utility,communication,1,9,1.55,0.45
utility,dependency,1,22,1,1
utility,communication,1,23,1.55,0.45
utility,communication,1,25,1.55,0.45
utility,communication,1,26,1.55,0.45
utility,communication,1,29,0.45,1.55
utility,communication,1,30,0.45,1.55
utility,dependency,1,33,1,1
utility,dependency,1,47,1,1
utility,dependency,2,3,1,1
utility,communication,2,8,0.45,1.55
utility,communication,2,16,1.55,0.45
utility,communication,2,18,0.45,1.55
utility,communication,2,26,0.45,1.55
utility,communication,2,29,1.55,0.45
utility,dependency,2,31,1,1
utility,dependency,2,58,1,1
utility,communication,3,6,1.55,0.45
utility,communication,3,7,0.45,1.55
utility,communication,3,8,1.55,0.45
utility,communication,3,18,0.45,1.55
utility,communication,3,22,0.45,1.55
utility,communication,3,24,1.55,0.45
utility,dependency,3,28,1,1
utility,communication,3,30,0.45,1.55
utility,communication,3,31,1.55,0.45
utility,dependency,3,43,1,1
utility,dependency,4,5,1,1
utility,dependency,4,6,1,1
utility,communication,4,7,1.55,0.45
utility,dependency,4,13,1,1
utility,communication,4,17,0.45,1.55
utility,communication,4,21,1.55,0.45
utility,communication,4,27,1.55,0.45
utility,dependency,4,62,1,1
utility,communication,5,11,1.55,0.45
utility,communication,5,12,1.55,0.45
utility,communication,5,18,1.55,0.45
utility,communication,5,21,1.55,0.45
utility,communication,5,23,0.45,1.55
utility,dependency,5,26,1,1
utility,dependency,5,36,1,1
utility,dependency,5,59,1,1
utility,communication,6,7,0.45,1.55
utility,communication,6,9,0.45,1.55
utility,communication,6,11,0.45,1.55
utility,communication,6,12,0.45,1.55
utility,communication,6,13,0.45,1.55
utility,communication,6,14,1.55,0.45
utility,communication,6,24,1.55,0.45
utility,communication,6,25,0.45,1.55
utility,communication,6,26,0.45,1.55
utility,communication,6,31,1.55,0.45
utility,dependency,6,40,1,1
utility,dependency,6,52,1,1
utility,dependency,6,58,1,1
utility,communication,7,8,1.55,0.45
utility,dependency,7,8,1,1
utility,communication,7,13,0.45,1.55
utility,dependency,7,13,1,1
utility,communication,7,15,1.55,0.45
utility,communication,7,20,0.45,1.55
utility,communication,7,26,1.55,0.45
utility,dependency,7,27,1,1
utility,communication,7,30,1.55,0.45
utility,dependency,7,35,1,1
utility,communication,8,10,0.45,1.55
utility,communication,8,13,1.55,0.45
utility,communication,8,19,1.55,0.45
utility,communication,8,23,0.45,1.55
utility,dependency,8,23,1,1
utility,communication,8,26,1.55,0.45
utility,communication,8,31,0.45,1.55
utility,dependency,8,46,1,1
utility,dependency,8,62,1,1
utility,dependency,9,10,1,1
utility,communication,9,20,0.45,1.55
utility,communication,9,21,1.55,0.45
utility,communication,9,22,0.45,1.55
utility,communication,9,27,1.55,0.45
utility,communication,9,29,1.55,0.45
utility,dependency,9,47,1,1
utility,dependency,9,50,1,1
utility,dependency,9,56,1,1
utility,dependency,10,11,1,1
utility,communication,10,21,1.55,0.45
utility,communication,10,24,0.45,1.55
utility,communication,10,30,0.45,1.55
utility,dependency,10,52,1,1
utility,dependency,10,57,1,1
utility,communication,11,12,1.55,0.45
utility,dependency,11,12,1,1
utility,dependency,11,19,1,1
utility,communication,11,20,0.45,1.55
utility,communication,11,25,0.45,1.55
utility,dependency,11,51,1,1
utility,communication,12,13,0.45,1.55
utility,communication,12,22,0.45,1.55
utility,communication,12,26,1.55,0.45
utility,communication,12,28,1.55,0.45
utility,communication,12,31,1.55,0.45
utility,dependency,12,34,1,1
utility,dependency,12,45,1,1
utility,dependency,12,60,1,1
utility,dependency,13,14,1,1
utility,communication,13,15,1.55,0.45
utility,communication,13,17,0.45,1.55
utility,dependency,13,21,1,1
utility,communication,13,22,1.55,0.45
utility,communication,13,30,1.55,0.45
utility,dependency,14,15,1,1
utility,communication,14,16,1.55,0.45
utility,communication,14,18,0.45,1.55
utility,dependency,14,18,1,1
utility,communication,14,23,0.45,1.55
utility,communication,14,31,1.55,0.45
utility,dependency,14,53,1,1
utility,dependency,15,16,1,1
utility,communication,15,24,1.55,0.45
utility,communication,15,25,0.45,1.55
utility,communication,15,26,1.55,0.45
utility,communication,15,27,0.45,1.55
utility,communication,15,28,1.55,0.45
utility,dependency,15,30,1,1
utility,dependency,15,57,1,1
utility,communication,16,20,1.55,0.45
utility,communication,16,21,1.55,0.45
utility,communication,16,31,1.55,0.45
utility,dependency,16,37,1,1
utility,dependency,16,60,1,1
utility,dependency,16,63,1,1
utility,dependency,17,18,1,1
utility,communication,17,21,1.55,0.45
utility,communication,17,22,1.55,0.45
utility,communication,17,26,1.55,0.45
utility,dependency,17,31,1,1
utility,dependency,17,43,1,1
utility,dependency,17,50,1,1
utility,communication,18,19,0.45,1.55
utility,communication,18,25,1.55,0.45
utility,communication,18,29,0.45,1.55
utility,dependency,18,32,1,1
utility,dependency,18,49,1,1
utility,communication,19,28,0.45,1.55
utility,dependency,19,32,1,1
utility,dependency,19,44,1,1
utility,dependency,19,58,1,1
utility,communication,20,21,1.55,0.45
utility,dependency,20,21,1,1
utility,communication,20,23,0.45,1.55
utility,communication,20,25,1.55,0.45
utility,dependency,20,45,1,1
utility,dependency,20,49,1,1
utility,dependency,20,53,1,1
utility,communication,21,22,0.45,1.55
utility,communication,21,26,0.45,1.55
utility,dependency,21,39,1,1
utility,dependency,21,56,1,1
utility,communication,22,23,0.45,1.55
utility,dependency,22,26,1,1
utility,communication,22,27,0.45,1.55
utility,communication,22,31,0.45,1.55
utility,dependency,22,32,1,1
utility,dependency,22,46,1,1
utility,dependency,23,24,1,1
utility,dependency,23,25,1,1
utility,communication,23,27,0.45,1.55
utility,communication,23,31,1.55,0.45
utility,dependency,23,42,1,1
utility,communication,24,29,1.55,0.45
utility,communication,24,31,1.55,0.45
utility,dependency,24,34,1,1
utility,dependency,24,40,1,1
utility,dependency,24,48,1,1
utility,dependency,25,42,1,1
utility,dependency,25,44,1,1
utility,dependency,25,63,1,1
utility,communication,26,27,0.45,1.55
utility,dependency,26,27,1,1
utility,dependency,26,38,1,1
utility,communication,27,31,1.55,0.45
utility,dependency,27,33,1,1
utility,dependency,27,39,1,1
utility,dependency,28,56,1,1
utility,dependency,28,57,1,1
utility,dependency,28,61,1,1
utility,dependency,29,30,1,1
utility,communication,29,31,0.45,1.55
utility,dependency,29,31,1,1
utility,dependency,29,37,1,1
utility,dependency,29,43,1,1
utility,dependency,30,48,1,1
utility,dependency,30,59,1,1
utility,dependency,31,42,1,1
utility,dependency,32,33,1,1
utility,communication,32,42,1.55,0.45
utility,communication,32,46,1.55,0.45
utility,communication,32,49,1.55,0.45
utility,communication,32,50,1.55,0.45
utility,communication,32,54,1.55,0.45
utility,dependency,33,37,1,1
utility,communication,33,38,1.55,0.45
utility,communication,33,45,0.45,1.55
utility,communication,33,46,1.55,0.45
utility,communication,33,50,1.55,0.45
utility,communication,33,54,0.45,1.55
utility,communication,33,56,1.55,0.45
utility,communication,34,42,0.45,1.55
utility,communication,34,48,0.45,1.55
utility,communication,34,50,1.55,0.45
utility,communication,34,51,1.55,0.45
utility,communication,34,53,1.55,0.45
utility,dependency,34,54,1,1
utility,dependency,35,36,1,1
utility,communication,35,41,0.45,1.55
utility,communication,35,47,1.55,0.45
utility,dependency,35,48,1,1
utility,communication,35,50,0.45,1.55
utility,dependency,35,54,1,1
utility,communication,35,55,0.45,1.55
utility,communication,35,58,1.55,0.45
utility,communication,35,60,1.55,0.45
utility,communication,36,39,0.45,1.55
utility,communication,36,40,1.55,0.45
utility,communication,36,43,1.55,0.45
utility,communication,36,52,1.55,0.45
utility,dependency,36,55,1,1
utility,communication,36,61,0.45,1.55
utility,dependency,36,61,1,1
utility,communication,36,63,1.55,0.45
utility,communication,37,42,0.45,1.55
utility,communication,37,43,1.55,0.45
utility,communication,37,45,0.45,1.55
utility,communication,37,46,0.45,1.55
utility,communication,37,50,0.45,1.55
utility,communication,37,52,0.45,1.55
utility,dependency,37,55,1,1
utility,communication,37,60,1.55,0.45
utility,communication,37,61,0.45,1.55
utility,dependency,38,47,1,1
utility,communication,38,50,0.45,1.55
utility,communication,38,51,1.55,0.45
utility,communication,38,52,0.45,1.55
utility,dependency,38,53,1,1
utility,communication,38,60,0.45,1.55
utility,dependency,38,63,1,1
utility,communication,39,43,1.55,0.45
utility,dependency,39,49,1,1
utility,dependency,39,51,1,1
utility,communication,39,61,0.45,1.55
utility,communication,40,41,0.45,1.55
utility,dependency,40,46,1,1
utility,communication,40,52,1.55,0.45
utility,dependency,40,53,1,1
utility,communication,40,54,1.55,0.45
utility,communication,40,57,1.55,0.45
utility,communication,41,42,1.55,0.45
utility,dependency,41,42,1,1
utility,communication,41,49,1.55,0.45
utility,dependency,41,50,1,1
utility,dependency,41,51,1,1
utility,dependency,41,52,1,1
utility,communication,41,56,1.55,0.45
utility,communication,41,59,1.55,0.45
utility,communication,41,63,0.45,1.55
utility,communication,42,45,0.45,1.55
utility,communication,42,51,0.45,1.55
utility,communication,42,53,0.45,1.55
utility,communication,42,62,0.45,1.55
utility,communication,43,45,1.55,0.45
utility,dependency,43,45,1,1
utility,communication,43,61,1.55,0.45
utility,dependency,44,45,1,1
utility,communication,44,48,0.45,1.55
utility,communication,44,52,0.45,1.55
utility,communication,44,55,0.45,1.55
utility,dependency,44,55,1,1
utility,communication,45,47,1.55,0.45
utility,communication,45,54,1.55,0.45
utility,communication,45,56,1.55,0.45
utility,communication,45,58,1.55,0.45
utility,communication,46,48,0.45,1.55
utility,dependency,46,50,1,1
utility,communication,46,52,1.55,0.45
utility,communication,46,60,1.55,0.45
utility,communication,46,63,1.55,0.45
utility,communication,47,50,0.45,1.55
utility,communication,47,53,0.45,1.55
utility,communication,47,54,1.55,0.45
utility,dependency,47,54,1,1
utility,communication,47,62,0.45,1.55
utility,dependency,48,55,1,1
utility,communication,48,56,1.55,0.45
utility,communication,48,57,1.55,0.45
utility,communication,48,60,1.55,0.45
utility,communication,49,53,0.45,1.55
utility,communication,49,56,1.55,0.45
utility,dependency,49,61,1,1
utility,communication,49,62,1.55,0.45
utility,communication,50,62,0.45,1.55
utility,communication,51,59,0.45,1.55
utility,communication,51,60,1.55,0.45
utility,dependency,51,62,1,1
utility,communication,51,63,1.55,0.45
utility,communication,52,53,0.45,1.55
utility,communication,52,54,0.45,1.55
utility,dependency,52,58,1,1
utility,communication,52,61,0.45,1.55
utility,communication,52,63,1.55,0.45
utility,communication,53,56,1.55,0.45
utility,communication,53,59,1.55,0.45
utility,dependency,54,56,1,1
utility,communication,55,59,1.55,0.45
utility,communication,55,61,0.45,1.55
utility,communication,57,58,0.45,1.55
utility,dependency,57,59,1,1
utility,communication,57,60,1.55,0.45
utility,communication,58,63,1.55,0.45
utility,communication,59,60,0.45,1.55
utility,dependency,59,63,1,1
utility,dependency,60,61,1,1
utility,dependency,60,62,1,1
utility,communication,60,63,1.55,0.45
utility,communication,61,62,1.55,0.45
utility,communication,61,63,1.55,0.45
