application,time,independent_n,belief_order_mean,belief_order_ci_low,belief_order_ci_high,action_order_mean,action_order_ci_low,action_order_ci_high,belief_action_consistency_mean,belief_action_consistency_ci_low,belief_action_consistency_ci_high,belief_entropy_mean,belief_entropy_ci_low,belief_entropy_ci_high,action_entropy_mean,action_entropy_ci_low,action_entropy_ci_high,entropy_flow_per_update_mean,entropy_flow_per_update_ci_low,entropy_flow_per_update_ci_high,workload_density_mean,workload_density_ci_low,workload_density_ci_high,service_loss_mean,service_loss_ci_low,service_loss_ci_high,cascade_depth_mean,cascade_depth_ci_low,cascade_depth_ci_high,activity_mean,activity_ci_low,activity_ci_high
utility,0,8,-0.171875,-0.3404119025,-0.003338097513,-0.859375,-0.9042054096,-0.8145445904,0.2109375,0.06741015885,0.3544648411,0.9391980055,0.884531614,0.9938643969,0.3566572322,0.272326467,0.4409879975,0.04086805928,-0.00387928243,0.08561540098,0,0,0,0,0,0,0,0,0,0.287109375,0.2615930994,0.3126256506
utility,1,8,-0.40625,-0.5743889399,-0.2381110601,-0.79296875,-0.8519197443,-0.7340177557,0.37109375,0.2803652262,0.4618222738,0.8305041082,0.7112620514,0.949746165,0.4674907265,0.3750898424,0.5598916106,0.03897739928,-0.007987822386,0.08594262094,0,0,0,0,0,0,0,0,0,0.2509765625,0.2212623219,0.2806908031
utility,2,8,-0.515625,-0.6772633405,-0.3539866595,-0.69140625,-0.7727933039,-0.6100191961,0.46484375,0.3903321567,0.5393553433,0.752121107,0.627408377,0.8768338369,0.6035724518,0.5033119892,0.7038329145,0.01827029839,-0.01067409673,0.0472146935,0,0,0,0,0,0,0,0,0,0.25,0.2115006215,0.2884993785
utility,3,8,-0.5625,-0.7182278776,-0.4067721224,-0.72265625,-0.7925279586,-0.6527845414,0.51171875,0.4198893342,0.6035481658,0.7153026468,0.608148961,0.8224563327,0.5676042717,0.4787837259,0.6564248176,0.03395051386,-0.00718688074,0.07508790845,0,0,0,0,0,0,0,0,0,0.240234375,0.2001629513,0.2803057987
utility,4,8,-0.625,-0.7966873976,-0.4533126024,-0.65625,-0.7321534131,-0.5803465869,0.5234375,0.3808467257,0.6660282743,0.6428094849,0.5292126153,0.7564063545,0.6498482527,0.5767857936,0.7229107117,0.01509890864,-0.02518011034,0.05537792762,0,0,0,0,0,0,0,0,0,0.2060546875,0.1768377915,0.2352715835
utility,5,8,-0.76171875,-0.9380026148,-0.5854348852,-0.640625,-0.7165284131,-0.5647215869,0.59765625,0.5179324531,0.6773800469,0.4493359041,0.2730705431,0.6256012651,0.6669844122,0.5892121031,0.7447567212,0.06102741648,0.004426614735,0.1176282182,0,0,0,0,0,0,0,0,0,0.2099609375,0.174115586,0.245806289
utility,6,8,-0.76953125,-0.923501573,-0.615560927,-0.69140625,-0.811942264,-0.570870236,0.640625,0.5473030606,0.7339469394,0.4542067912,0.2896928218,0.6187207606,0.5859065419,0.4531779487,0.7186351351,0.01749546295,-0.02506232027,0.06005324617,0,0,0,0,0,0,0,0,0,0.1923828125,0.1678388456,0.2169267794
utility,7,8,-0.77734375,-0.9659292148,-0.5887582852,-0.66796875,-0.7865435591,-0.5493939409,0.6171875,0.5112573749,0.7231176251,0.413411414,0.2273260363,0.5994967917,0.6147912599,0.4784529299,0.75112959,0.0006965381413,-0.02920639904,0.03059947532,0,0,0,0,0,0,0,0,0,0.18359375,0.1287642469,0.2384232531
utility,8,8,-0.77734375,-0.9711845175,-0.5835029825,-0.66796875,-0.7765148277,-0.5594226723,0.65625,0.5580314936,0.7544685064,0.4049512936,0.2043014017,0.6056011854,0.621748756,0.5061445769,0.7373529352,0.01319980564,-0.03677277567,0.06317238695,0,0,0,0,0,0,0,0,0,0.16796875,0.1197196203,0.2162178797
utility,9,8,-0.76953125,-0.9625060728,-0.5765564272,-0.60546875,-0.7182523552,-0.4926851448,0.625,0.506389885,0.743610115,0.4272770429,0.2545742608,0.599979825,0.6900972346,0.5789305175,0.8012639517,-0.03189222511,-0.08005083174,0.01626638152,0,0,0,0,0,0,0,0,0,0.171875,0.1403074726,0.2034425274
