run_id,application,regime,information_condition,method,environment_seed,operator_seed,rl_seed,status,primary_outcome,service_loss_auc,cumulative_weighted_unmet_need,cumulative_critical_unserved_load,operator_interventions,operator_minutes,operator_workload_auc,maximum_operator_workload,mean_queue_wait_steps,maximum_queue_length,operator_requests,communication_active_agent_epoch_fraction,timely_activation,missed_activation,pre_disruption_false_activation,nominal_false_activation,first_request_step,first_visible_collapse_step,complete_causal_chains,harmful_interventions,beneficial_interventions,mean_counterfactual_effect,structured_attempts,first_pass_valid,valid_after_repair,material_actions_accepted,material_actions_next_stage,material_actions_reached_service,commitment_changes,agent_messages,agent_message_bytes,thermodynamic_sketch_messages,thermodynamic_sketch_bytes,tool_calls,llm_calls,prompt_tokens,generated_tokens,llm_latency_seconds,wall_clock_seconds,maximum_conservation_residual,conservation_feasible,active_incidents
implementation_pilot_v4_dense-commercial-autonomy_no_operator-telemetry_integrity-private_fragmented-e24001-o124001-rnone,commercial,telemetry_integrity,private_fragmented,autonomy_no_operator,24001,124001,,complete,3.4507200000000013,3.4507200000000013,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,131760,1,0,0,0,0.0,0.2044056709855795,0.0,True,1
implementation_pilot_v4_dense-commercial-autonomy_no_operator-telemetry_integrity-private_fragmented-e24002-o124002-rnone,commercial,telemetry_integrity,private_fragmented,autonomy_no_operator,24002,124002,,complete,3.4507200000000013,3.4507200000000013,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,131760,1,0,0,0,0.0,0.2138592269620858,0.0,True,1
implementation_pilot_v4_dense-commercial-autonomy_no_operator-telemetry_integrity-private_fragmented-e24003-o124003-rnone,commercial,telemetry_integrity,private_fragmented,autonomy_no_operator,24003,124003,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,1,224,600,130737,1,0,0,0,0.0,0.20901630097068846,0.0,True,1
implementation_pilot_v4_dense-commercial-autonomy_no_operator-telemetry_integrity-private_fragmented-e24004-o124004-rnone,commercial,telemetry_integrity,private_fragmented,autonomy_no_operator,24004,124004,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,1,224,600,130989,1,0,0,0,0.0,0.21891603799303994,0.0,True,1
implementation_pilot_v4_dense-commercial-autonomy_no_operator-telemetry_integrity-private_fragmented-e24005-o124005-rnone,commercial,telemetry_integrity,private_fragmented,autonomy_no_operator,24005,124005,,complete,7.257600000000002,7.257600000000002,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,0,0,1,224,600,130737,1,0,0,0,0.0,0.207684530003462,0.0,True,1
implementation_pilot_v4_dense-commercial-autonomy_no_operator-telemetry_integrity-globally_public-e24001-o124001-rnone,commercial,telemetry_integrity,globally_public,autonomy_no_operator,24001,124001,,complete,3.4507200000000013,3.4507200000000013,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,131190,1,0,0,0,0.0,0.2097126619773917,0.0,True,1
implementation_pilot_v4_dense-commercial-autonomy_no_operator-telemetry_integrity-globally_public-e24002-o124002-rnone,commercial,telemetry_integrity,globally_public,autonomy_no_operator,24002,124002,,complete,3.4507200000000013,3.4507200000000013,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,131190,1,0,0,0,0.0,0.20985270995879546,0.0,True,1
implementation_pilot_v4_dense-commercial-autonomy_no_operator-telemetry_integrity-globally_public-e24003-o124003-rnone,commercial,telemetry_integrity,globally_public,autonomy_no_operator,24003,124003,,complete,3.4507200000000013,3.4507200000000013,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,131190,1,0,0,0,0.0,0.20347727602347732,0.0,True,1
implementation_pilot_v4_dense-commercial-autonomy_no_operator-telemetry_integrity-globally_public-e24004-o124004-rnone,commercial,telemetry_integrity,globally_public,autonomy_no_operator,24004,124004,,complete,3.4507200000000013,3.4507200000000013,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,131190,1,0,0,0,0.0,0.21080977603560314,0.0,True,1
implementation_pilot_v4_dense-commercial-autonomy_no_operator-telemetry_integrity-globally_public-e24005-o124005-rnone,commercial,telemetry_integrity,globally_public,autonomy_no_operator,24005,124005,,complete,3.4507200000000013,3.4507200000000013,,,0,0.0,0.0,0.0,0.0,0,0,0.0,False,True,False,False,,,0,0,0,0.0,1,1,1,1,1,1,0,1,224,600,131190,1,0,0,0,0.0,0.2248158250004053,0.0,True,1
