acceptances,agreement_rate,application,coalition_formation_rate,coalition_recall_when_required,coalitions,commitment_breaches,commitment_memory_accuracy,commitment_memory_items,conservation_error,contradiction_rate,counteroffers,cumulative_unmet_weighted_need,delivered_messages,failed_actions,fairness,final_backlog,fulfillment_rate,generated_tokens,individually_rational_agreement_rate,information_disclosures,inventory_efficiency,llm_calls,llm_latency_seconds,manifest,max_free_energy,mean_agent_utility,mean_consensus_rmse,mean_time_to_agreement,message_bytes,message_delivery_rate,messages,method,minimum_agent_utility,monitor_sketch_bytes,monitor_sketch_messages,multi_step_completion_rate,n_agents,on_time_delivery_rate,option_counts,partner_reliability_brier,partner_reliability_observations,plan_revisions,planner_revision,primary_outcome,prompt_tokens,recovery_time,rejections,resumed,run_id,scenario,scenario_name,seed,service_loss_auc,social_welfare,status,tool_calls,tool_proposals,total_communication_bytes,total_communication_messages,total_cost,transport_efficiency,useful_coalition_precision,valid_structured_output_rate,valid_tool_call_rate,wall_clock_seconds
2,0.1111111111111111,commercial,0.0,,0,2,0.5263157894736842,38,4.547473508864641e-13,0.0,1,593.7424660220497,10,0,0.999999996505052,49.41302952894729,0.5349086823019271,0,1.0,0,0.05441804574072584,0,0.0,manifests/pilot-commercial-scripted_independent-n08-s1101-nominal.json,0.23320909504052725,0.7603756799144946,0.007484875059990161,4.0,7019,0.43478260869565216,23,scripted_independent,0.4349753336270541,,,0.0,8,1.0,"{'0': 11, '1': 0, '2': 0, '3': 18, '4': 3, '5': 0, '6': 0, '7': 0, '8': 0}",0.125,4,0,mock-v2,10.349748919991262,0,11.0,0,True,pilot-commercial-scripted_independent-n08-s1101-nominal,reliable-nominal-p0.5-o0.5,nominal,1101,10.349748919991262,0.7332202995177844,complete,32,32,,,54.91565730109874,1.0,0.0,1.0,1.0,0.016302287578582764
0,0.0,commercial,0.0,,0,0,0.7,40,0.0,0.0,0,1055.172880602873,8,3,0.9999991278233074,124.85082094690085,0.0338608278825002,0,0.0,0,0.004053235217184761,0,0.0,manifests/pilot-commercial-scripted_independent-n08-s1102-nominal.json,0.21585745133401535,0.576512943378064,0.00798386673065617,,6608,0.4,20,scripted_independent,-0.2511668912497243,,,0.0,8,0.0,"{'0': 9, '1': 0, '2': 0, '3': 20, '4': 3, '5': 0, '6': 0, '7': 0, '8': 0}",,0,0,mock-v2,14.339975249332623,0,11.0,0,True,pilot-commercial-scripted_independent-n08-s1102-nominal,reliable-nominal-p0.5-o0.5,nominal,1102,14.339975249332623,0.28386060983832706,complete,29,32,,,0.0,0.0,0.0,1.0,0.90625,0.015702903270721436
1,0.05555555555555555,commercial,0.0,,0,1,0.5,44,2.2737367544323206e-13,0.0,4,624.9266268986894,12,0,0.9999998615684438,80.47936152493106,0.08499285528366786,0,1.0,0,0.0072049301854491795,0,0.0,manifests/pilot-commercial-scripted_independent-n08-s1103-nominal.json,0.23320909504052725,0.5608730366609787,0.007484875059990161,,7661,0.5,24,scripted_independent,-0.21584617349770832,,,0.0,8,0.0,"{'0': 9, '1': 0, '2': 0, '3': 18, '4': 5, '5': 0, '6': 0, '7': 0, '8': 0}",0.13,2,0,mock-v2,11.67183694875943,0,11.0,0,True,pilot-commercial-scripted_independent-n08-s1103-nominal,reliable-nominal-p0.5-o0.5,nominal,1103,11.67183694875943,0.3349928206757788,complete,32,32,,,0.0,0.0,0.0,1.0,1.0,0.016391824930906296
0,0.0,commercial,0.0,,0,0,0.0,0,-4.547473508864641e-13,0.0,0,833.7644782448929,1,0,0.9999997426246655,102.75348429183462,0.06233277792514059,2044,0.0,4,0.006545586039129489,32,21.94706653431058,manifests/pilot-commercial-learned_no_entropy-n08-s1101-nominal.json,0.21585745133401535,0.5425426649113124,0.007484875059990161,,829,0.25,4,learned_no_entropy,-0.10269737975143602,,,0.0,8,0.0,"{'0': 28, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 4, '8': 0}",,0,0,a09a35458c702b33eeacc393d103063234e8bc28,12.64687639841271,34625,11.0,0,True,pilot-commercial-learned_no_entropy-n08-s1101-nominal,reliable-nominal-p0.5-o0.5,nominal,1101,12.64687639841271,0.312332713581307,complete,32,32,,,0.0,0.0,0.0,1.0,1.0,22.011436071246862
0,0.0,commercial,1.0,,1,0,0.0,0,-2.2737367544323206e-13,0.0,0,1032.5453671110424,1,2,0.9999991671718486,121.90212774896634,0.034651506505455364,2114,0.0,1,0.004072875216197994,32,24.72947119921446,manifests/pilot-commercial-learned_no_entropy-n08-s1102-nominal.json,0.21585745133401535,0.5762200779327076,0.00798386673065617,,897,0.25,4,learned_no_entropy,-0.2551203130588028,,,0.5,8,0.0,"{'0': 28, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 4, '8': 0}",,0,1,a09a35458c702b33eeacc393d103063234e8bc28,14.317014690131948,34736,11.0,0,True,pilot-commercial-learned_no_entropy-n08-s1102-nominal,reliable-nominal-p0.5-o0.5,nominal,1102,14.317014690131948,0.2846512982984175,complete,32,32,,,0.0,0.0,0.0,1.0,0.9375,24.773421678692102
0,0.0,commercial,0.0,,0,0,0.0,0,4.547473508864641e-13,0.0,0,647.2445550228035,4,0,0.9999998537508589,82.9287749583545,0.08269005982461805,2015,0.0,4,0.007198077766255617,32,21.09175970032811,manifests/pilot-commercial-learned_no_entropy-n08-s1103-nominal.json,0.21585745133401535,0.5544961176439978,0.007484875059990161,,820,1.0,4,learned_no_entropy,-0.26178957606643183,,,0.0,8,0.0,"{'0': 28, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 4, '8': 0}",,0,0,a09a35458c702b33eeacc393d103063234e8bc28,11.735579905233376,34858,11.0,0,True,pilot-commercial-learned_no_entropy-n08-s1103-nominal,reliable-nominal-p0.5-o0.5,nominal,1103,11.735579905233376,0.33269002326233277,complete,32,32,,,0.0,0.0,0.0,1.0,1.0,21.13609005138278
0,0.0,commercial,1.0,,3,0,0.0,0,0.0,0.0,0,50.466707129728945,6,5,0.9999999989999999,0.0,1.0,2734,0.0,1,0.10641992998548802,32,25.497300941497087,manifests/pilot-commercial-thermoagent-n08-s1101-nominal.json,0.21585745133401535,0.9734784178713549,0.001995966682664057,,4205,0.5,12,thermoagent,0.803860524000731,,,1.0,8,1.0,"{'0': 10, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 22, '8': 0}",,0,5,a09a35458c702b33eeacc393d103063234e8bc28,2.0816336404726523,38875,1.0,0,True,pilot-commercial-thermoagent-n08-s1101-nominal,reliable-nominal-p0.5-o0.5,nominal,1101,2.0816336404726523,1.0150704464425553,complete,31,32,,,260.60994301889343,1.0,0.0,1.0,0.84375,25.545857425779104
0,0.0,commercial,1.0,,2,0,0.0,0,0.0,0.0,0,264.42078334961445,1,3,0.9999999981374961,34.786945279365554,0.7327425198941075,2478,0.0,1,0.08871057793859947,32,23.72152817621827,manifests/pilot-commercial-thermoagent-n08-s1102-nominal.json,0.21585745133401535,0.8558499658499547,0.0064868917186581415,,1867,0.14285714285714285,7,thermoagent,0.5600081427306518,,,1.0,8,1.0,"{'0': 17, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 14, '8': 0}",,0,3,a09a35458c702b33eeacc393d103063234e8bc28,5.171913012899268,37869,1.0,0,True,pilot-commercial-thermoagent-n08-s1102-nominal,reliable-nominal-p0.5-o0.5,nominal,1102,5.171913012899268,0.7843413089392199,complete,32,32,,,258.24429871580077,0.47643979057591623,1.0,1.0,0.90625,23.76719444990158
0,0.0,commercial,1.0,,1,0,0.0,0,2.2737367544323206e-13,0.0,0,15.920579686226374,1,3,0.9999999989999999,0.0,1.0,2396,0.0,1,0.08687832964779667,32,23.397591564804316,manifests/pilot-commercial-thermoagent-n08-s1103-nominal.json,0.21585745133401535,0.9638824602890964,0.0014969750119980475,,898,0.25,4,thermoagent,0.8025493483508546,,,1.0,8,1.0,"{'0': 18, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 14, '8': 0}",,0,3,a09a35458c702b33eeacc393d103063234e8bc28,0.966775042173794,37914,1.0,0,True,pilot-commercial-thermoagent-n08-s1103-nominal,reliable-nominal-p0.5-o0.5,nominal,1103,0.966775042173794,0.9435293027356546,complete,32,32,,,275.8926029679585,1.0,1.0,1.0,0.90625,23.444209571927786
2,0.09523809523809523,commercial,0.0,,0,2,0.5,46,-1.1368683772161603e-13,0.0,2,353.6165711547764,12,1,0.9999999983345943,23.772307061563424,0.774889835674405,0,1.0,0,0.08112747585346532,0,0.0,manifests/pilot-commercial-scripted_independent-n08-s1101-single_disruption.json,0.21585745133401535,0.7544363246318826,0.009563275325580121,2.5,8341,0.4444444444444444,27,scripted_independent,0.17036271928011443,,,0.0,8,1.0,"{'0': 14, '1': 0, '2': 0, '3': 21, '4': 5, '5': 0, '6': 0, '7': 0, '8': 0}",0.125,4,0,mock-v2,7.271344994639409,0,9.0,0,True,pilot-commercial-scripted_independent-n08-s1101-single_disruption,reliable-moderate-p0.5-o0.5,single_disruption,1101,7.271344994639409,0.946886850900556,complete,39,40,,,82.3734859516481,1.0,0.0,1.0,0.975,0.017816387116909027
