run_id,application,regime,information_condition,method,environment_seed,operator_seed,rl_seed,status,primary_outcome,service_loss_auc,cumulative_weighted_unmet_need,cumulative_critical_unserved_load,operator_interventions,operator_minutes,operator_workload_auc,maximum_operator_workload,mean_queue_wait_steps,maximum_queue_length,operator_requests,low_confidence_operator_decisions,safe_low_confidence_decisions,safe_low_confidence_decision_rate,communication_active_agent_epoch_fraction,timely_activation,missed_activation,pre_disruption_false_activation,nominal_false_activation,first_request_step,first_visible_collapse_step,complete_causal_chains,harmful_interventions,beneficial_interventions,mean_counterfactual_effect,structured_attempts,first_pass_valid,valid_after_repair,material_actions_accepted,material_actions_next_stage,material_actions_reached_service,commitment_changes,agent_messages,agent_message_bytes,thermodynamic_sketch_messages,thermodynamic_sketch_bytes,tool_calls,llm_calls,prompt_tokens,generated_tokens,llm_latency_seconds,wall_clock_seconds,maximum_conservation_residual,conservation_feasible,active_incidents
development_gate_human-commercial-thermohitl_v4_rule-isolated_physical-private_fragmented-e24002-o124002-rnone,commercial,isolated_physical,private_fragmented,thermohitl_v4_rule,24002,124002,,complete,3.820320000000001,3.820320000000001,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,0,0,0.0,0.07,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,2,1,224,600,130920,1,0,0,0,0.0,0.22653532802360132,0.0,True,1
development_gate_human-commercial-thermohitl_v4_rule-isolated_physical-private_fragmented-e24003-o124003-rnone,commercial,isolated_physical,private_fragmented,thermohitl_v4_rule,24003,124003,,complete,3.820320000000001,3.820320000000001,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,0,0,0.0,0.07,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,2,1,224,600,130920,1,0,0,0,0.0,0.25582617498002946,0.0,True,1
development_gate_human-commercial-thermohitl_v4_rule-isolated_physical-private_fragmented-e24004-o124004-rnone,commercial,isolated_physical,private_fragmented,thermohitl_v4_rule,24004,124004,,complete,3.820320000000001,3.820320000000001,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,0,0,0.0,0.07,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,2,1,224,600,130920,1,0,0,0,0.0,0.22479044797364622,0.0,True,1
development_gate_human-commercial-thermohitl_v4_rule-isolated_physical-private_fragmented-e24005-o124005-rnone,commercial,isolated_physical,private_fragmented,thermohitl_v4_rule,24005,124005,,complete,3.820320000000001,3.820320000000001,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,0,0,0.0,0.07,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,1,1,224,600,130920,1,0,0,0,0.0,0.23029364697868004,0.0,True,1
development_gate_human-commercial-thermohitl_v4_rule-isolated_physical-private_fragmented-e24006-o124006-rnone,commercial,isolated_physical,private_fragmented,thermohitl_v4_rule,24006,124006,,complete,3.820320000000001,3.820320000000001,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,0,0,0.0,0.07,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,2,1,224,600,130920,1,0,0,0,0.0,0.22335547197144479,0.0,True,1
development_gate_human-commercial-thermohitl_v4_rule-isolated_physical-private_fragmented-e24007-o124007-rnone,commercial,isolated_physical,private_fragmented,thermohitl_v4_rule,24007,124007,,complete,3.820320000000001,3.820320000000001,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,0,0,0.0,0.07,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,2,1,224,600,130920,1,0,0,0,0.0,0.22720818204106763,0.0,True,1
development_gate_human-commercial-thermohitl_v4_rule-isolated_physical-private_fragmented-e24008-o124008-rnone,commercial,isolated_physical,private_fragmented,thermohitl_v4_rule,24008,124008,,complete,3.820320000000001,3.820320000000001,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,0,0,0.0,0.07,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,2,1,224,600,130920,1,0,0,0,0.0,0.24795451801037416,0.0,True,1
development_gate_human-commercial-thermohitl_v4_rule-isolated_physical-private_fragmented-e24009-o124009-rnone,commercial,isolated_physical,private_fragmented,thermohitl_v4_rule,24009,124009,,complete,3.820320000000001,3.820320000000001,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,0,0,0.0,0.07,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,2,1,224,600,130920,1,0,0,0,0.0,0.22834530501859263,0.0,True,1
development_gate_human-commercial-thermohitl_v4_rule-isolated_physical-private_fragmented-e24010-o124010-rnone,commercial,isolated_physical,private_fragmented,thermohitl_v4_rule,24010,124010,,complete,3.820320000000001,3.820320000000001,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,0,0,0.0,0.07,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,2,1,224,600,130920,1,0,0,0,0.0,0.22995096497470513,0.0,True,1
development_gate_human-commercial-thermohitl_v4_rule-isolated_physical-private_fragmented-e24011-o124011-rnone,commercial,isolated_physical,private_fragmented,thermohitl_v4_rule,24011,124011,,complete,3.820320000000001,3.820320000000001,,,1,8.0,0.7600000000000001,0.34,0.0,0,1,0,0,0.0,0.07,True,False,False,False,7,,0,0,0,0.0,1,1,1,1,1,1,2,1,224,600,130920,1,0,0,0,0.0,0.26952904800418764,0.0,True,1
